"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.ASOC.Sex","CONS.ASOC.Age","CONS.SOCIAL.Sex","CONS.SOCIAL.Age","CONS.A.S.Sex","CONS.A.S.Age","OFFs1","OFFs2","OFFs3","OFFASOC.Sex","OFFASOC.Age","OFFSOCIAL.Sex","OFFSOCIAL.Age","OFFA.S.Sex","OFFA.S.Age","convergence","loglik","s1","s2","s3","ASOCIALSex","ASOCIALAge","SOCIALSex","SOCIALAge","SEs1","SEs2","SEs3","SEasocialSex","SEasocialAge","SEsocialSex","SEsocialAge","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"111",111,"socialEffectsOnly","0:1:0",NA,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.332334329382,0,941.865073037922,0,0,0,-0.500347023137385,0,0,1827.49860416148,0,0,0,0.243293196044342,0,578.664668658765,578.838581702243,0,1,0.196453224965732
"79",79,"unconstrained","0:1:0",NA,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.747637726876,0,2305068.04570762,0,8.3330325731464,0,-0.509663793849227,0,0,NA,0,NA,0,NA,0,579.495275453752,579.848216630222,1.0096349279795,0.603615746981773,0.118582260134669
"126",126,"noILVs","0:1:0",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.462291901206,0,742.293656962794,0,0,0,0,0,0,1438.54501145975,0,0,0,0,0,580.924583802412,580.981726659554,2.14314495731162,0.342469567700823,0.0672792510274468
"75",75,"socialEffectsOnly","0:1:0",NA,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.322072253675,0,25222.3712396305,0,0,0,-0.50749303024513,-0.00165434070404701,0,NA,0,0,0,NA,NA,580.644144507351,580.997085683821,2.15850398157852,0.339849641254608,0.0667645580279147
"82",82,"socialEffectsOnly","0:1:2",NA,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.332334329382,0,941.865073037922,0,0,0,-0.500347023137385,0,0,NA,NA,0,0,0.241110424083245,0,580.664668658765,581.017609835235,2.17902813299236,0.336379912267624,0.0660829185786647
"96",96,"socialEffectsOnly","1:2:0",NA,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.332334329385,0,941.8626638466,0,0,0,-0.500346605078901,0,32.9075997547117,1827.79363977105,0,0,0,0.243310777567753,0,580.664668658769,581.01760983524,2.1790281329969,0.336379912266859,0.0660829185785145
"36",36,"unconstrained","0:1:0",NA,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.737554449287,0,51525250.5888911,0,8.23926579062629,0,-0.516581312891441,-0.00160141052923237,0,NA,0,NA,0,NA,NA,581.475108898574,582.072123823947,3.23354212170466,0.198538734702305,0.0390035747128836
"113",113,"additive","0:1:0",NA,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,288.950342677974,0,7776618.29017881,0,9.55255892911635,0,0,0,0,NA,0,NA,0,0,0,581.900685355949,582.074598399427,3.23601669718403,0.198293237066931,0.0389553459106931
"43",43,"unconstrained","0:1:2",NA,0,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.747637726876,0,2305068.04570762,0,8.3330325731464,0,-0.509663793849227,0,0,NA,NA,NA,0,NA,0,581.495275453752,582.092290379125,3.25370867688207,0.196546872653604,0.0386122669897296
"59",59,"unconstrained","1:2:0",NA,1,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,286.77899894642,161484.653299429,2663080.26110703,0,8.47327831317238,0,-0.504360060756432,0,NA,NA,0,NA,0,0.244373867715561,0,581.55799789284,582.155012818214,3.31643111597077,0.19047857498981,0.0374201303436253
"110",110,"socialEffectsOnly","0:1:0",NA,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.426526438255,0,2.13320092953068,0,0,0,0,0.00294847107268079,0,47.2612120585912,0,0,0,0,0.0111144259270272,582.85305287651,583.026965919989,4.18838421774581,0.123169711185884,0.0241970869805646
"120",120,"noILVs","1:2:0",NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.447369948138,49.4020460035392,739.492680198691,0,0,0,0,0,311.987374764467,1435.54236407352,0,0,0,0,0,582.894739896275,583.068652939754,4.23007123751086,0.120628992822044,0.0236979546642586
"114",114,"noILVs","0:1:2",NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,289.462291901206,0,742.293656962794,0,0,0,0,0,0,NA,NA,0,0,0,0,582.924583802412,583.09849684589,4.25991514364705,0.118842336009049,0.0233469601714388
"39",39,"socialEffectsOnly","0:1:2",NA,0,1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.32207225361,0,25214.7701812098,0,0,0,-0.507492313752821,-0.001654179651723,0,11726.2938386053,NA,0,0,0.242871281431087,0.000578722324829198,582.644144507219,583.241159432592,4.40257773034955,0.110660440022371,0.0217396003185218
"55",55,"socialEffectsOnly","1:2:0",NA,1,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.32207225361,0,25214.980196374,0,0,0,-0.507492324050275,-0.00165418189190695,NA,NA,0,0,0,NA,NA,582.644144507221,583.241159432594,4.40257773035103,0.11066044002229,0.0217396003185058
"62",62,"socialEffectsOnly","1:2:3",NA,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,287.332334329385,0,941.8626638466,0,0,0,-0.500346605078901,0,32.8279622117913,NA,NA,0,0,0.241163171254353,0,582.664668658769,583.261683584142,4.42310188189947,0.109530641157281,0.0215176476879122
