"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"47596","2006-01-26",2006,"BEGR",-82.48254,27.1585,"SD",2
"47644","2006-02-08",2006,"FB78",-82.50269,27.20508,"SD",2
"47998","2006-04-19",2006,"4C4C",-82.54874,27.25976,"SD",2
"47999","2006-04-19",2006,"F219",-82.54874,27.25976,"SD",2
"48000","2006-04-19",2006,"F254",-82.54874,27.25976,"SD",2
"48001","2006-04-19",2006,"FB44",-82.54874,27.25976,"SD",2
"48210","2006-05-19",2006,"F173",-82.68703,27.44309,"SD",2
"48211","2006-05-19",2006,"F232",-82.68703,27.44309,"SD",2
"48212","2006-05-19",2006,"FB06",-82.68703,27.44309,"SD",2
"48236","2006-05-22",2006,"FB35",-82.46847,27.11173,"FG",2
"48576","2006-06-20",2006,"F162",-82.63557,27.54792,"SD",2
"48677","2006-06-22",2006,"F220",-82.69966,27.5193,"SD",2
"49108","2006-07-10",2006,"F232",-82.65399,27.39363,"SD",2
"49118","2006-07-10",2006,"F232",-82.68582,27.42941,"SD",2
"49158","2006-07-12",2006,"F171",-82.59207,27.40538,"SD",2
"49159","2006-07-12",2006,"IKN2",-82.59207,27.40538,"SD",2
"49232","2006-07-17",2006,"F218",-82.71216,27.53718,"SD",2
"49378","2006-07-21",2006,"FB79",-82.70248,27.52745,"FG",2
"52152","2007-01-26",2007,"FB78",-82.54598,27.28297,"SD",2
"52936","2007-03-08",2007,"F106",-82.58421,27.33102,"SD",2
"52938","2007-03-08",2007,"F207",-82.58421,27.33102,"SD",2
"52966","2007-03-08",2007,"1091",-82.56664,27.28375,"SD",2
"52967","2007-03-08",2007,"F109",-82.56664,27.28375,"SD",2
"53025","2007-03-09",2007,"1091",-82.56764,27.28241,"SD",2
"53026","2007-03-09",2007,"F109",-82.56764,27.28241,"SD",2
"53027","2007-03-09",2007,"F175",-82.56764,27.28241,"SD",2
"53028","2007-03-09",2007,"F207",-82.56764,27.28241,"SD",2
"53098","2007-03-13",2007,"1091",-82.58611,27.32971,"SD",2
"53099","2007-03-13",2007,"F109",-82.58611,27.32971,"SD",2
"53100","2007-03-13",2007,"1091",-82.58611,27.32971,"SD",2
"53101","2007-03-13",2007,"F109",-82.58611,27.32971,"SD",2
"53188","2007-03-15",2007,"F142",-82.56118,27.30633,"FG",2
"53277","2007-03-20",2007,"FB78",-82.56311,27.30298,"SD",2
"53282","2007-03-20",2007,"FB78",-82.56311,27.30298,"SD",2
"53293","2007-03-20",2007,"FB78",-82.56268,27.29891,"SD",2
"53400","2007-03-24",2007,"F232",-82.68267,27.4425,"SD",2
"53401","2007-03-24",2007,"F232",-82.68267,27.4425,"SD",2
"53427","2007-03-26",2007,"F228",-82.69552,27.49639,"SD",2
"53428","2007-03-26",2007,"FB66",-82.69552,27.49639,"SD",2
"53430","2007-03-26",2007,"F228",-82.69552,27.49639,"SD",2
"53431","2007-03-26",2007,"FB66",-82.69552,27.49639,"SD",2
"53433","2007-03-26",2007,"F228",-82.69552,27.49639,"SD",2
"53434","2007-03-26",2007,"FB66",-82.69552,27.49639,"SD",2
"53614","2007-04-03",2007,"C596",-82.68992,27.46294,"SD",2
"53615","2007-04-03",2007,"F220",-82.68992,27.46294,"SD",2
"53616","2007-04-03",2007,"FB79",-82.68992,27.46294,"SD",2
