"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"217","1995-03-03",1995,"MOCH",-82.47667,27.14667,"SD",1
"218","1995-03-03",1995,"MOCH",-82.47667,27.14667,"SD",1
"1355","1995-06-13",1995,"BEGR",-82.46925,27.12563,"SD",1
"1356","1995-06-13",1995,"MOCH",-82.46925,27.12563,"SD",1
"1357","1995-06-13",1995,"BEGR",-82.46925,27.12563,"SD",1
"1358","1995-06-13",1995,"MOCH",-82.46925,27.12563,"SD",1
"4089","1996-03-21",1996,"MOCH",-82.47017,27.13333,"SD",1
"5831","1996-07-11",1996,"F155",-82.64716,27.48017,"FG",1
"5886","1996-07-12",1996,"F155",-82.64616,27.47617,"FG",1
"5913","1996-07-12",1996,"F178",-82.68867,27.50233,"FG",1
"5914","1996-07-12",1996,"FB09",-82.68867,27.50233,"FG",1
"6610","1996-08-02",1996,"FB03",-82.65467,27.43667,"FG",1
"6624","1996-08-05",1996,"BRDO",-82.575,27.323,"SD",1
"6842","1996-08-21",1996,"F178",-82.69,27.50383,"FG",1
"6843","1996-08-21",1996,"FB09",-82.69,27.50383,"FG",1
"7182","1996-09-09",1996,"FB92",-82.65134,27.43817,"FG",1
"7320","1996-09-20",1996,"1832",-82.5615,27.36667,"FG",1
"7459","1996-10-04",1996,"MOCH",-82.545,27.28333,"SD",1
"7498","1996-10-17",1996,"FB92",-82.6505,27.47817,"FG",1
"8400","1997-04-18",1997,"BEGR",-82.47083,27.1415,"SD",1
"8402","1997-04-18",1997,"BEGR",-82.47083,27.1415,"SD",1
"8403","1997-04-18",1997,"FB96",-82.47083,27.1415,"SD",1
"11829","1997-10-19",1997,"BEGR",-82.46833,27.12333,"SD",1
"12038","1997-11-15",1997,"BEGR",-82.46941,27.1274,"SD",1
"13626","1998-07-22",1998,"BEGR",-82.47,27.14,"SD",1
"14237","1998-09-23",1998,"F128",-82.5575,27.36383,"FG",1
"14302","1998-10-15",1998,"1535",-82.55167,27.28617,"FG",1
"14790","1998-12-29",1998,"BEGR",-82.47,27.13333,"SD",1
"14791","1998-12-29",1998,"BEGR",-82.47,27.13333,"SD",1
"16041","1999-06-11",1999,"F192",-82.58,27.38333,"SD",1
"16042","1999-06-11",1999,"F194",-82.58,27.38333,"SD",1
"17200","1999-08-26",1999,"F109",-82.65733,27.4405,"FG",1
"17211","1999-08-31",1999,"BEGR",-82.47083,27.13933,"SD",1
"17212","1999-08-31",1999,"BEGR",-82.47083,27.13933,"SD",1
"17577","1999-10-25",1999,"BEGR",-82.48867,27.17017,"SD",1
"21511","2000-07-26",2000,"F178",-82.68558,27.45485,"FG",1
"22155","2000-08-04",2000,"F175",-82.67067,27.4385,"FG",1
"23660","2000-10-04",2000,"F118",-82.66592,27.44531,"FG",1
"23663","2000-10-04",2000,"FB92",-82.66592,27.44531,"FG",1
"23733","2000-10-05",2000,"FB84",-82.66248,27.43866,"FG",1
"25042","2001-01-07",2001,"BEGR",-82.49393,27.17861,"SD",1
"25135","2001-01-14",2001,"BEGR",-82.47947,27.15478,"SD",1
"25623","2001-02-16",2001,"BEGR",-82.47263,27.14427,"SD",1
"25631","2001-02-18",2001,"BEGR",-82.47433,27.14709,"SD",1
"25731","2001-03-03",2001,"BEGR",-82.47949,27.15502,"SD",1
"25732","2001-03-03",2001,"BEGR",-82.47949,27.15502,"SD",1
"25785","2001-03-11",2001,"BEGR",-82.46935,27.1264,"SD",1
"25917","2001-03-23",2001,"BEGR",-82.46928,27.12666,"SD",1
"25949","2001-03-24",2001,"BEGR",-82.49383,27.17856,"SD",1
"26174","2001-04-28",2001,"BEGR",-82.46935,27.12657,"SD",1
"31258","2001-11-07",2001,"F109",-82.66681,27.44191,"SD",1
"31260","2001-11-07",2001,"F128",-82.66681,27.44191,"SD",1
"33812","2002-06-28",2002,"F118",-82.64723,27.48051,"FG",1
"34954","2002-10-21",2002,"F125",-82.62882,27.40392,"FG",1
"34955","2002-10-21",2002,"F196",-82.62882,27.40392,"FG",1
"34956","2002-10-21",2002,"F258",-82.62882,27.40392,"FG",1
"34957","2002-10-21",2002,"FB02",-82.62882,27.40392,"FG",1
"40536","2004-03-22",2004,"BEGR",-82.46965,27.13176,"SD",1
"42899","2004-11-12",2004,"BEGR",-82.4812,27.15563,"SD",1
"43309","2005-01-28",2005,"FB78",-82.54527,27.2997,"SD",1
"43988","2005-05-13",2005,"F222",-82.5927,27.41408,"SD",1
"43989","2005-05-13",2005,"F222",-82.5927,27.41408,"SD",1
