"","trial","id","t_weight"
"1",1,"1054",0
"2",1,"1091",5.66666666666667
"3",1,"1092",1.5
"4",1,"1093",0
"5",1,"1132",0
"6",1,"1134",0
"7",1,"1135",0
"8",1,"1231",0
"9",1,"1251",0
"10",1,"1253",1
"11",1,"1313",0
"12",1,"1314",0
"13",1,"1315",0
"14",1,"1316",0
"15",1,"1317",0
"16",1,"1351",0
"17",1,"1373",0
"18",1,"1412",0
"19",1,"1414",0
"20",1,"1415",0
"21",1,"1453",0
"22",1,"1454",1
"23",1,"1455",0
"24",1,"1456",0
"25",1,"1457",0
"26",1,"1494",2
"27",1,"1495",0
"28",1,"1496",1
"29",1,"1511",0
"30",1,"1535",0
"31",1,"1536",0
"32",1,"1551",0
"33",1,"1555",0
"34",1,"1556",0
"35",1,"1575",0
"36",1,"1591",0
"37",1,"1593",0
"38",1,"1651",1.75
"39",1,"1672",0
"40",1,"1673",0
"41",1,"1674",0
"42",1,"1711",0
"43",1,"1753",1.5
"44",1,"1791",0
"45",1,"1813",0
"46",1,"1832",0
"47",1,"1833",0
"48",1,"1834",0
"49",1,"1991",0
"50",1,"1992",0
"51",1,"2071",0
"52",1,"2091",0
"53",1,"2102",0
"54",1,"2151",0
"55",1,"2152",0
"56",1,"2193",0
"57",1,"2194",0
"58",1,"2231",0
"59",1,"2252",0
"60",1,"2253",0
"61",1,"226C",0
"62",1,"2271",0
"63",1,"2313",0
"64",1,"2SCT",0
"65",1,"2SDN",0
"66",1,"2XUU",0
"67",1,"2YEL",0
"68",1,"49IS",0
"69",1,"49LA",0
"70",1,"4C42",0
"71",1,"4C4C",1
"72",1,"AARD",0
"73",1,"AAXE",0
"74",1,"ABGL",0
"75",1,"ALH2",0
"76",1,"ALH3",0
"77",1,"ALHK",0
"78",1,"ALOT",0
"79",1,"AMTS",0
"80",1,"AMV1",0
"81",1,"AMVM",1
"82",1,"APEM",0
"83",1,"APLO",0
"84",1,"ARCE",0
"85",1,"ARRC",0
"86",1,"ARRR",0
"87",1,"ASPK",0
"88",1,"ATMM",0
"89",1,"ATNA",0
"90",1,"ATRD",0
"91",1,"B026",0
"92",1,"B032",0
"93",1,"B033",0
"94",1,"B053",1
"95",1,"B207",0
"96",1,"B226",0
"97",1,"B531",1
"98",1,"BASH",0
"99",1,"BBL2",0
"100",1,"BBL3",0
"101",1,"BBLN",0
"102",1,"BBMM",0
"103",1,"BDSP",0
"104",1,"BEAN",2
"105",1,"BEGR",2
"106",1,"BESR",0
"107",1,"BEWT",0
"108",1,"BGET",0
"109",1,"BGSQ",0
"110",1,"BIK1",0
"111",1,"BIK2",0
"112",1,"BIKO",0
"113",1,"BKH1",0
"114",1,"BKH2",0
"115",1,"BKH3",0
"116",1,"BKHO",0
"117",1,"BKTL",0
"118",1,"BKTS",0
"119",1,"BKUS",0
"120",1,"BLNK",0
"121",1,"BLTR",0
"122",1,"BMRD",0
"123",1,"BNDS",0
"124",1,"BNKP",0
"125",1,"BNSE",0
"126",1,"BOO2",0
"127",1,"BOO3",0
"128",1,"BOOC",0
"129",1,"BOOT",0
"130",1,"BOX1",0
"131",1,"BOXR",0
"132",1,"BRAC",0
"133",1,"BRAN",0
"134",1,"BRC3",0
"135",1,"BRC4",0
"136",1,"BRD2",0
"137",1,"BRD3",1
"138",1,"BRDO",0
"139",1,"BREA",0
"140",1,"BRIS",0
"141",1,"BRN1",0
"142",1,"BTCH",0
"143",1,"BTHS",0
"144",1,"BTLN",0
"145",1,"BTM2",0
"146",1,"BTTC",0
"147",1,"BTTV",0
"148",1,"BTWO",0
"149",1,"BUMI",0
"150",1,"BUZL",0
"151",1,"C075",0
"152",1,"C076",0
"153",1,"C077",0
"154",1,"C096",0
"155",1,"C114",1
"156",1,"C254",0
"157",1,"C255",0
"158",1,"C258",0
"159",1,"C259",0
"160",1,"C272",0
"161",1,"C273",0
"162",1,"C275",0
"163",1,"C276",0
"164",1,"C296",0
"165",1,"C330",0
"166",1,"C335",0
"167",1,"C336",0
"168",1,"C391",0
"169",1,"C546",0
"170",1,"C548",0
"171",1,"C554",0
"172",1,"C555",0
"173",1,"C595",0
"174",1,"C596",1
"175",1,"C597",0
"176",1,"C652",1
"177",1,"C655",1
"178",1,"C656",1
"179",1,"C793",0
"180",1,"C794",1
"181",1,"C795",2
"182",1,"C797",1
"183",1,"C798",1
"184",1,"C834",2.33333333333333
"185",1,"C835",1
"186",1,"C871",0
"187",1,"C872",0
"188",1,"C873",0
"189",1,"C874",0
"190",1,"C911",0
"191",1,"C912",0
"192",1,"C931",0
"193",1,"C932",0
"194",1,"C933",0
"195",1,"C935",1
"196",1,"C936",0
"197",1,"C991",0
"198",1,"CAES",0
"199",1,"CAM1",0
"200",1,"CATW",0
"201",1,"CBTA",0
"202",1,"CCL6",0
"203",1,"CDS2",0
"204",1,"CENT",0
"205",1,"CHAD",0
"206",1,"CHMA",0
"207",1,"CHOC",0
"208",1,"CHSL",0
"209",1,"CHTO",0
"210",1,"CIER",0
"211",1,"CL-4841",0
"212",1,"CL-4987",0
"213",1,"CL-5034",0
