"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"1","1054",0,"F105",NA,"1991","no"
"2","1091",1,"F109","Female","2006","no"
"3","1092",1,"F109","Female","2010","no"
"4","1093",0,"F109",NA,"2013","no"
"5","1132",0,"F113",NA,"2007","no"
"6","1134",0,"F113",NA,"2013","no"
"7","1135",0,"F113",NA,"2014","no"
"8","1231",1,"F123","Male","2012","no"
"9","1251",0,"F125",NA,"2005","no"
"10","1253",1,"F125","Male","2011","no"
"11","1312",0,"F131","Male","1999","no"
"12","1313",0,"F131",NA,"2002","no"
"13","1314",0,"F131",NA,"2004","no"
"14","1315",1,"F131","Male","2006","no"
"15","1316",1,"F131","Female","2010","no"
"16","1317",0,"F131",NA,"2013","no"
"17","1351",0,"F135",NA,"2010","no"
"18","1373",0,"F137","Female","2014","no"
"19","1412",0,"F141",NA,"2004","no"
"20","1414",0,"F141",NA,"2011","no"
"21","1415",0,"F141",NA,"2014","no"
"22","1452",0,"M145",NA,NA,"no"
"23","1453",0,"M145",NA,"2002","no"
"24","1454",1,"M145",NA,"<2006","no"
"25","1455",0,"M145",NA,"2008","no"
"26","1456",0,"M145",NA,"2011","no"
"27","1457",0,"M145",NA,"2014","no"
"28","1494",1,"F149","Female","2005","no"
"29","1495",0,"F149","Female","2010","no"
"30","1496",1,"F149","Female","2013","no"
"31","1511",0,"F151","Probable Female","2011","no"
"32","1535",1,"F153",NA,"1995","no"
"33","1536",0,"F153","Male","1999","no"
"34","1551",0,"F155",NA,"1999","no"
"35","1555",0,"F155",NA,"2012","no"
"36","1556",1,"F155","Male","2013","no"
"37","1575",0,"F157",NA,"2008","no"
"38","1591",0,"F159","Female","2008","no"
"39","1593",0,"F159","Male","2013","no"
"40","1651",1,"F165","Female","2011","no"
"41","1672",0,"F167",NA,"2005","no"
"42","1673",0,"F167",NA,"2010","no"
"43","1674",0,"F167","Female","2013","no"
"44","1711",0,"F171",NA,"2012","no"
"45","1753",1,"F175","Female","2008","no"
"46","1791",0,"F179",NA,"2013","no"
"47","1813",0,"F181",NA,"2008","no"
"48","1832",1,"F183",NA,"1993","no"
"49","1833",0,"F183",NA,"1998","no"
"50","1834",0,"F183",NA,"2006","no"
"51","1931",0,"F193",NA,"1991","no"
"52","1932",0,"F193",NA,"<1997","no"
"53","1991",0,"F199",NA,"2011","no"
