"","id","sex"
"1","1054",1
"2","1091",0
"3","1092",0
"4","1093",1
"5","1132",1
"6","1134",1
"7","1135",1
"8","1231",0
"9","1251",1
"10","1253",0
"11","1313",1
"12","1314",1
"13","1315",0
"14","1316",0
"15","1317",1
"16","1351",1
"17","1373",0
"18","1412",1
"19","1414",1
"20","1415",1
"21","1452",1
"22","1453",1
"23","1454",1
"24","1455",1
"25","1456",1
"26","1457",1
"27","1494",0
"28","1495",0
"29","1496",0
"30","1511",0
"31","1535",1
"32","1536",0
"33","1551",1
"34","1555",1
"35","1556",0
"36","1575",1
"37","1591",0
"38","1593",0
"39","1651",0
"40","1672",1
"41","1673",1
"42","1674",0
"43","1711",1
"44","1753",0
"45","1791",1
"46","1813",1
"47","1832",1
"48","1833",1
"49","1834",1
"50","1991",1
"51","1992",0
"52","2071",0
"53","2091",0
"54","2102",1
"55","2151",0
"56","2152",0
"57","2193",1
"58","2194",1
"59","2231",0
"60","2252",0
"61","2253",0
"62","226C",0
"63","2271",0
"64","2313",1
"65","2SCT",1
"66","2SDN",0
"67","2XUU",0
"68","2YEL",1
"69","49C3",1
"70","49IS",1
"71","49LA",0
"72","4C42",1
"73","4C4C",1
"74","AARD",0
"75","AAXE",1
"76","ABGL",1
"77","ALH2",1
"78","ALH3",1
"79","ALHK",0
"80","ALKC",1
"81","ALOT",1
"82","AMTS",0
"83","AMV1",0
"84","AMVM",0
"85","APEM",1
"86","APLO",1
"87","ARCE",1
"88","ARRC",1
"89","ARRR",0
"90","ASPK",0
"91","ATMM",1
"92","ATNA",0
"93","ATRD",0
"94","B026",0
"95","B032",0
"96","B033",0
"97","B053",0
"98","B207",1
"99","B226",0
"100","B531",0
"101","BASH",1
"102","BBL2",1
"103","BBL3",1
"104","BBLN",0
"105","BBMM",1
"106","BDSP",0
"107","BEAN",1
"108","BEGR",0
"109","BESR",1
"110","BEWT",1
"111","BGET",1
"112","BGSQ",0
"113","BIK1",1
"114","BIK2",1
"115","BIKO",0
"116","BKH1",1
"117","BKH2",1
"118","BKH3",1
"119","BKHO",0
"120","BKTL",1
"121","BKTS",1
"122","BKUS",1
"123","BLNK",1
"124","BLTR",1
"125","BMRD",1
"126","BNDS",0
"127","BNKP",1
"128","BNSE",1
"129","BOO2",1
"130","BOO3",0
"131","BOOC",1
"132","BOOT",0
"133","BOX1",0
"134","BOXR",0
"135","BRAC",0
"136","BRAN",0
"137","BRC3",1
"138","BRC4",1
"139","BRCH",1
"140","BRD2",0
"141","BRD3",0
"142","BRDO",0
"143","BREA",1
"144","BRIS",0
"145","BRN1",1
"146","BTCH",1
"147","BTHS",0
"148","BTHV",1
"149","BTLE",0
"150","BTLN",0
"151","BTM2",1
"152","BTMV",1
"153","BTTC",1
"154","BTTV",0
"155","BTWO",1
"156","BUMI",1
"157","BUZL",1
"158","C073",1
"159","C075",1
"160","C076",1
"161","C077",1
"162","C096",1
"163","C114",0
"164","C254",0
"165","C255",0
"166","C258",0
"167","C259",1
"168","C272",1
"169","C273",1
"170","C275",1
"171","C276",1
"172","C295",1
"173","C296",1
"174","C330",0
"175","C335",0
"176","C336",0
"177","C391",1
"178","C546",1
"179","C548",0
"180","C554",1
"181","C555",0
"182","C574",1
"183","C595",1
"184","C596",0
"185","C597",1
"186","C652",1
"187","C655",0
"188","C656",1
"189","C717",0
"190","C755",1
"191","C793",1
"192","C794",1
"193","C795",1
"194","C797",0
"195","C798",0
"196","C834",0
"197","C835",0
"198","C871",1
"199","C872",0
"200","C873",1
"201","C874",1
"202","C911",1
"203","C912",1
"204","C931",0
"205","C932",1
"206","C933",0
"207","C935",0
"208","C936",0
"209","C991",0
"210","CAES",1
"211","CAM1",0
"212","CATW",0
"213","CBTA",1
"214","CCL6",1
"215","CDS2",1
"216","CENT",1
"217","CHAD",0
"218","CHK2",0
"219","CHMA",0
"220","CHOC",1
"221","CHSL",0
"222","CHTO",1
"223","CIER",1
"224","CKB2",1
"225","CL-4841",1
"226","CL-4987",1
"227","CL-5034",1
"228","CL-5063",1
"229","CL-5091",1
"230","CL-5178",1
"231","CL-5192",1
"232","CL-5224",1
"233","CL-5225",1
"234","CL-5464",1
"235","CL-5469",1
"236","CL-5471",1
"237","CL-5472",1
"238","CL-5473",1
"239","CL-5474",1
"240","CLA2",0
"241","CLAT",0
"242","CLIF",1
"243","CLJP",1
"244","CLUE",1
"245","CMRS",0
"246","CONS",0
"247","COST",1
"248","CPS2",1
"249","CRAG",1
"250","CRKS",1
"251","CRUM",1
"252","CSH3",1
"253","CSPD",1
