"","id","sex"
"1","1054",1
"2","1091",0
"3","1092",0
"4","1093",1
"5","1132",1
"6","1134",1
"7","1135",1
"8","1231",0
"9","1251",1
"10","1253",0
"11","1313",1
"12","1314",1
"13","1315",0
"14","1316",0
"15","1317",1
"16","1351",1
"17","1373",0
"18","1412",1
"19","1414",1
"20","1415",1
"21","1452",1
"22","1453",1
"23","1454",1
"24","1455",1
"25","1456",1
"26","1457",1
"27","1494",0
"28","1495",0
"29","1496",0
"30","1511",0
"31","1535",1
"32","1536",0
"33","1551",1
"34","1555",1
"35","1556",0
"36","1575",1
"37","1591",0
"38","1593",0
"39","1651",0
"40","1672",1
"41","1673",1
"42","1674",0
"43","1711",1
"44","1753",0
"45","1791",1
"46","1813",1
"47","1832",1
"48","1833",1
"49","1834",1
"50","1991",1
"51","1992",0
"52","2071",0
"53","2091",0
"54","2102",1
"55","2151",0
"56","2152",0
"57","2193",1
"58","2194",1
"59","2231",0
"60","2252",0
"61","2253",0
"62","226C",0
"63","2271",0
"64","2313",1
"65","2SCT",1
"66","2SDN",0
"67","2XUU",0
"68","2YEL",1
"69","49IS",1
"70","49LA",0
"71","4C42",1
"72","4C4C",1
"73","AARD",0
"74","AAXE",1
"75","ABGL",1
"76","ALH2",1
"77","ALH3",1
"78","ALHK",0
"79","ALKC",1
"80","ALOT",1
"81","AMTS",0
"82","AMV1",0
"83","AMVM",0
"84","APEM",1
"85","APLO",1
"86","ARCE",1
"87","ARRC",1
"88","ARRR",0
"89","ASPK",0
"90","ATMM",1
"91","ATNA",0
"92","ATRD",0
"93","B026",0
"94","B032",0
"95","B033",0
"96","B053",0
"97","B207",1
"98","B226",0
"99","B531",0
"100","BASH",1
"101","BBL2",1
"102","BBL3",1
"103","BBLN",0
"104","BBMM",1
"105","BDSP",0
"106","BEAN",1
"107","BEGR",0
"108","BESR",1
"109","BEWT",1
"110","BGET",1
"111","BGSQ",0
"112","BIK1",1
"113","BIK2",1
"114","BIKO",0
"115","BKH1",1
"116","BKH2",1
"117","BKH3",1
"118","BKHO",0
"119","BKTL",1
"120","BKTS",1
"121","BKUS",1
"122","BLNK",1
"123","BLTR",1
"124","BMRD",1
"125","BNDS",0
"126","BNKP",1
"127","BNSE",1
"128","BOO2",1
"129","BOO3",0
"130","BOOC",1
"131","BOOT",0
"132","BOX1",0
"133","BOXR",0
"134","BRAC",0
"135","BRAN",0
"136","BRC3",1
"137","BRC4",1
"138","BRD2",0
"139","BRD3",0
"140","BRDO",0
"141","BREA",1
"142","BRIS",0
"143","BRN1",1
"144","BTCH",1
"145","BTHS",0
"146","BTLN",0
"147","BTM2",1
"148","BTMV",1
"149","BTTC",1
"150","BTTV",0
"151","BTWO",1
"152","BUMI",1
"153","BUZL",1
"154","C073",1
"155","C075",1
"156","C076",1
"157","C077",1
"158","C096",1
"159","C114",0
"160","C254",0
"161","C255",0
"162","C258",0
"163","C259",1
"164","C272",1
"165","C273",1
"166","C275",1
"167","C276",1
"168","C295",1
"169","C296",1
"170","C330",0
"171","C335",0
"172","C336",0
"173","C391",1
"174","C546",1
"175","C548",0
"176","C554",1
"177","C555",0
"178","C574",1
"179","C595",1
"180","C596",0
"181","C597",1
"182","C652",1
"183","C655",0
"184","C656",1
"185","C717",0
"186","C755",1
"187","C793",1
"188","C794",1
"189","C795",1
"190","C797",0
"191","C798",0
"192","C834",0
"193","C835",0
"194","C871",1
"195","C872",0
"196","C873",1
"197","C874",1
"198","C911",1
"199","C912",1
"200","C931",0
"201","C932",1
"202","C933",0
"203","C935",0
"204","C936",0
"205","C991",0
"206","CAES",1
"207","CAM1",0
"208","CATW",0
"209","CBTA",1
"210","CCL6",1
"211","CDS2",1
"212","CENT",1
"213","CHAD",0
"214","CHMA",0
"215","CHOC",1
"216","CHSL",0
"217","CHTO",1
"218","CIER",1
"219","CL-4841",1
"220","CL-4987",1
"221","CL-5034",1
"222","CL-5063",1
"223","CL-5091",1
"224","CL-5178",1
"225","CL-5192",1
"226","CL-5224",1
"227","CL-5225",1
"228","CL-5464",1
"229","CL-5469",1
"230","CL-5471",1
"231","CL-5472",1
"232","CL-5473",1
"233","CL-5474",1
"234","CLA2",0
"235","CLAT",0
"236","CLIF",1
"237","CLJP",1
"238","CLUE",1
"239","CMRS",0
"240","CONS",0
"241","COST",1
"242","CRAG",1
"243","CRKS",1
"244","CRUM",1
"245","CSH3",1
"246","CSPD",1
"247","CTS2",1
"248","CTS3",0
"249","CTS4",1
"250","CTS5",1
"251","CTW1",1
"252","CTW2",1
"253","CW32",1
