"","id","sex"
"1","1054",1
"2","1091",0
"3","1092",0
"4","1093",1
"5","1132",1
"6","1134",1
"7","1135",1
"8","1231",0
"9","1251",1
"10","1253",0
"11","1313",1
"12","1314",1
"13","1315",0
"14","1316",0
"15","1317",1
"16","1351",1
"17","1373",0
"18","1412",1
"19","1414",1
"20","1415",1
"21","1453",1
"22","1454",1
"23","1455",1
"24","1456",1
"25","1457",1
"26","1494",0
"27","1495",0
"28","1496",0
"29","1511",0
"30","1535",1
"31","1536",0
"32","1551",1
"33","1555",1
"34","1556",0
"35","1575",1
"36","1591",0
"37","1593",0
"38","1651",0
"39","1672",1
"40","1673",1
"41","1674",0
"42","1711",1
"43","1753",0
"44","1791",1
"45","1813",1
"46","1832",1
"47","1833",1
"48","1834",1
"49","1991",1
"50","1992",0
"51","2071",0
"52","2091",0
"53","2102",1
"54","2151",0
"55","2152",0
"56","2193",1
"57","2194",1
"58","2231",0
"59","2252",0
"60","2253",0
"61","226C",0
"62","2271",0
"63","2313",1
"64","2SCT",1
"65","2SDN",0
"66","2XUU",0
"67","2YEL",1
"68","49IS",1
"69","49LA",0
"70","4C42",1
"71","4C4C",1
"72","AARD",0
"73","AAXE",1
"74","ABGL",1
"75","ALH2",1
"76","ALH3",1
"77","ALHK",0
"78","ALOT",1
"79","AMTS",0
"80","AMV1",0
"81","AMVM",0
"82","APEM",1
"83","APLO",1
"84","ARCE",1
"85","ARRC",1
"86","ARRR",0
"87","ASPK",0
"88","ATMM",1
"89","ATNA",0
"90","ATRD",0
"91","B026",0
"92","B032",0
"93","B033",0
"94","B053",0
"95","B207",1
"96","B226",0
"97","B531",0
"98","BASH",1
"99","BBL2",1
"100","BBL3",1
"101","BBLN",0
"102","BBMM",1
"103","BDSP",0
"104","BEAN",1
"105","BEGR",0
"106","BESR",1
"107","BEWT",1
"108","BGET",1
"109","BGSQ",0
"110","BIK1",1
"111","BIK2",1
"112","BIKO",0
"113","BKH1",1
"114","BKH2",1
"115","BKH3",1
"116","BKHO",0
"117","BKTL",1
"118","BKTS",1
"119","BKUS",1
"120","BLNK",1
"121","BLTR",1
"122","BMRD",1
"123","BNDS",0
"124","BNKP",1
"125","BNSE",1
"126","BOO2",1
"127","BOO3",0
"128","BOOC",1
"129","BOOT",0
"130","BOX1",0
"131","BOXR",0
"132","BRAC",0
"133","BRAN",0
"134","BRC3",1
"135","BRC4",1
"136","BRD2",0
"137","BRD3",0
"138","BRDO",0
"139","BREA",1
"140","BRIS",0
"141","BRN1",1
"142","BTCH",1
"143","BTHS",0
"144","BTLN",0
"145","BTM2",1
"146","BTTC",1
"147","BTTV",0
"148","BTWO",1
"149","BUMI",1
"150","BUZL",1
"151","C075",1
"152","C076",1
"153","C077",1
"154","C096",1
"155","C114",0
"156","C254",0
"157","C255",0
"158","C258",0
"159","C259",1
"160","C272",1
"161","C273",1
"162","C275",1
"163","C276",1
"164","C296",1
"165","C330",0
"166","C335",0
"167","C336",0
"168","C391",1
"169","C546",1
"170","C548",0
"171","C554",1
"172","C555",0
"173","C595",1
"174","C596",0
"175","C597",1
"176","C652",1
"177","C655",0
"178","C656",1
"179","C793",1
"180","C794",1
"181","C795",1
"182","C797",0
"183","C798",0
"184","C834",0
"185","C835",0
"186","C871",1
"187","C872",0
"188","C873",1
"189","C874",1
"190","C911",1
"191","C912",1
"192","C931",0
"193","C932",1
"194","C933",0
"195","C935",0
"196","C936",0
"197","C991",0
"198","CAES",1
"199","CAM1",0
"200","CATW",0
"201","CBTA",1
"202","CCL6",1
"203","CDS2",1
"204","CENT",1
"205","CHAD",0
"206","CHMA",0
"207","CHOC",1
"208","CHSL",0
"209","CHTO",1
"210","CIER",1
"211","CL-4841",1
"212","CL-4987",1
"213","CL-5034",1
"214","CL-5063",1
"215","CL-5091",1
"216","CL-5178",1
"217","CL-5192",1
"218","CL-5224",1
"219","CL-5225",1
"220","CL-5464",1
"221","CL-5469",1
"222","CL-5471",1
"223","CL-5472",1
"224","CL-5473",1
"225","CL-5474",1
"226","CLA2",0
"227","CLAT",0
"228","CLIF",1
"229","CLJP",1
"230","CLUE",1
"231","CMRS",0
"232","CONS",0
"233","COST",1
"234","CRAG",1
"235","CRKS",1
"236","CRUM",1
"237","CSH3",1
"238","CSPD",1
"239","CTS3",0
"240","CTS4",1
"241","CTS5",1
"242","CTW1",1
"243","CTW2",1
"244","CW32",1
"245","CW3C",1
"246","CWM3",0
"247","DAB1",0
"248","DAB2",1
"249","DABL",0
"250","DAD2",1
"251","DADA",0
"252","DAF1",1
