"","trial","id","time","age_group"
"1",1,"1054",1,"calf"
"2",1,"1054",2,"calf"
"3",1,"1054",3,"juvenile"
"4",1,"1054",4,"juvenile"
"5",1,"1054",5,"juvenile"
"6",1,"1054",6,"adult"
"7",1,"1054",7,"adult"
"8",1,"1054",8,"adult"
"9",1,"1054",9,"adult"
"10",1,"1054",10,"adult"
"11",1,"1054",11,"adult"
"12",1,"1054",12,"adult"
"13",1,"1054",13,"adult"
"14",1,"1054",14,"adult"
"15",1,"1054",15,"adult"
"16",1,"1091",1,"unborn"
"17",1,"1091",2,"unborn"
"18",1,"1091",3,"unborn"
"19",1,"1091",4,"unborn"
"20",1,"1091",5,"unborn"
"21",1,"1091",6,"unborn"
"22",1,"1091",7,"unborn"
"23",1,"1091",8,"unborn"
"24",1,"1091",9,"unborn"
"25",1,"1091",10,"unborn"
"26",1,"1091",11,"unborn"
"27",1,"1091",12,"calf"
"28",1,"1091",13,"calf"
"29",1,"1091",14,"juvenile"
"30",1,"1091",15,"juvenile"
"31",1,"1092",1,"unborn"
"32",1,"1092",2,"unborn"
"33",1,"1092",3,"unborn"
"34",1,"1092",4,"unborn"
"35",1,"1092",5,"unborn"
"36",1,"1092",6,"unborn"
"37",1,"1092",7,"unborn"
"38",1,"1092",8,"unborn"
"39",1,"1092",9,"unborn"
"40",1,"1092",10,"unborn"
"41",1,"1092",11,"unborn"
"42",1,"1092",12,"unborn"
"43",1,"1092",13,"unborn"
"44",1,"1092",14,"calf"
"45",1,"1092",15,"calf"
"46",1,"1093",1,"unborn"
"47",1,"1093",2,"unborn"
"48",1,"1093",3,"unborn"
"49",1,"1093",4,"unborn"
"50",1,"1093",5,"unborn"
"51",1,"1093",6,"unborn"
"52",1,"1093",7,"unborn"
"53",1,"1093",8,"unborn"
"54",1,"1093",9,"unborn"
"55",1,"1093",10,"unborn"
"56",1,"1093",11,"unborn"
"57",1,"1093",12,"unborn"
"58",1,"1093",13,"unborn"
"59",1,"1093",14,"unborn"
"60",1,"1093",15,"unborn"
"61",1,"1132",1,"unborn"
"62",1,"1132",2,"unborn"
"63",1,"1132",3,"unborn"
"64",1,"1132",4,"unborn"
"65",1,"1132",5,"unborn"
"66",1,"1132",6,"unborn"
"67",1,"1132",7,"unborn"
"68",1,"1132",8,"unborn"
"69",1,"1132",9,"unborn"
"70",1,"1132",10,"unborn"
"71",1,"1132",11,"unborn"
"72",1,"1132",12,"unborn"
"73",1,"1132",13,"calf"
"74",1,"1132",14,"juvenile"
"75",1,"1132",15,"juvenile"
"76",1,"1134",1,"unborn"
"77",1,"1134",2,"unborn"
"78",1,"1134",3,"unborn"
"79",1,"1134",4,"unborn"
"80",1,"1134",5,"unborn"
"81",1,"1134",6,"unborn"
"82",1,"1134",7,"unborn"
"83",1,"1134",8,"unborn"
"84",1,"1134",9,"unborn"
"85",1,"1134",10,"unborn"
"86",1,"1134",11,"unborn"
"87",1,"1134",12,"unborn"
"88",1,"1134",13,"unborn"
"89",1,"1134",14,"unborn"
"90",1,"1134",15,"unborn"
"91",1,"1135",1,"unborn"
"92",1,"1135",2,"unborn"
"93",1,"1135",3,"unborn"
"94",1,"1135",4,"unborn"
"95",1,"1135",5,"unborn"
"96",1,"1135",6,"unborn"
"97",1,"1135",7,"unborn"
"98",1,"1135",8,"unborn"
"99",1,"1135",9,"unborn"
"100",1,"1135",10,"unborn"
"101",1,"1135",11,"unborn"
"102",1,"1135",12,"unborn"
"103",1,"1135",13,"unborn"
"104",1,"1135",14,"unborn"
"105",1,"1135",15,"unborn"
"106",1,"1231",1,"unborn"
"107",1,"1231",2,"unborn"
"108",1,"1231",3,"unborn"
"109",1,"1231",4,"unborn"
"110",1,"1231",5,"unborn"
"111",1,"1231",6,"unborn"
"112",1,"1231",7,"unborn"
"113",1,"1231",8,"unborn"
"114",1,"1231",9,"unborn"
"115",1,"1231",10,"unborn"
"116",1,"1231",11,"unborn"
"117",1,"1231",12,"unborn"
"118",1,"1231",13,"unborn"
"119",1,"1231",14,"unborn"
"120",1,"1231",15,"calf"
"121",1,"1251",1,"unborn"
"122",1,"1251",2,"unborn"
"123",1,"1251",3,"unborn"
"124",1,"1251",4,"unborn"
"125",1,"1251",5,"unborn"
"126",1,"1251",6,"unborn"
"127",1,"1251",7,"calf"
"128",1,"1251",8,"calf"
"129",1,"1251",9,"calf"
"130",1,"1251",10,"calf"
"131",1,"1251",11,"calf"
"132",1,"1251",12,"calf"
"133",1,"1251",13,"calf"
"134",1,"1251",14,"juvenile"
"135",1,"1251",15,"juvenile"
"136",1,"1253",1,"unborn"
"137",1,"1253",2,"unborn"
"138",1,"1253",3,"unborn"
"139",1,"1253",4,"unborn"
"140",1,"1253",5,"unborn"
"141",1,"1253",6,"unborn"
"142",1,"1253",7,"unborn"
"143",1,"1253",8,"unborn"
"144",1,"1253",9,"unborn"
"145",1,"1253",10,"unborn"
"146",1,"1253",11,"unborn"
"147",1,"1253",12,"unborn"
"148",1,"1253",13,"unborn"
"149",1,"1253",14,"calf"
"150",1,"1253",15,"calf"
"151",1,"1313",1,"unborn"
"152",1,"1313",2,"unborn"
