"","trial","id","time","age_group"
"1",1,"1054",1,"calf"
"2",1,"1054",2,"calf"
"3",1,"1054",3,"calf"
"4",1,"1054",4,"calf"
"5",1,"1054",5,"juvenile"
"6",1,"1054",6,"juvenile"
"7",1,"1054",7,"juvenile"
"8",1,"1054",8,"juvenile"
"9",1,"1054",9,"juvenile"
"10",1,"1054",10,"juvenile"
"11",1,"1054",11,"juvenile"
"12",1,"1054",12,"adult"
"13",1,"1054",13,"adult"
"14",1,"1054",14,"adult"
"15",1,"1054",15,"adult"
"16",1,"1054",16,"adult"
"17",1,"1054",17,"adult"
"18",1,"1054",18,"adult"
"19",1,"1054",19,"adult"
"20",1,"1054",20,"adult"
"21",1,"1054",21,"adult"
"22",1,"1054",22,"adult"
"23",1,"1054",23,"adult"
"24",1,"1054",24,"adult"
"25",1,"1054",25,"adult"
"26",1,"1054",26,"adult"
"27",1,"1054",27,"adult"
"28",1,"1054",28,"adult"
"29",1,"1054",29,"adult"
"30",1,"1054",30,"adult"
"31",1,"1054",31,"adult"
"32",1,"1054",32,"adult"
"33",1,"1054",33,"adult"
"34",1,"1054",34,"adult"
"35",1,"1054",35,"adult"
"36",1,"1054",36,"adult"
"37",1,"1054",37,"adult"
"38",1,"1054",38,"adult"
"39",1,"1054",39,"adult"
"40",1,"1054",40,"adult"
"41",1,"1054",41,"adult"
"42",1,"1054",42,"adult"
"43",1,"1091",1,"unborn"
"44",1,"1091",2,"unborn"
"45",1,"1091",3,"unborn"
"46",1,"1091",4,"unborn"
"47",1,"1091",5,"unborn"
"48",1,"1091",6,"unborn"
"49",1,"1091",7,"unborn"
"50",1,"1091",8,"unborn"
"51",1,"1091",9,"unborn"
"52",1,"1091",10,"unborn"
"53",1,"1091",11,"unborn"
"54",1,"1091",12,"unborn"
"55",1,"1091",13,"unborn"
"56",1,"1091",14,"unborn"
"57",1,"1091",15,"unborn"
"58",1,"1091",16,"unborn"
"59",1,"1091",17,"unborn"
"60",1,"1091",18,"unborn"
"61",1,"1091",19,"unborn"
"62",1,"1091",20,"unborn"
"63",1,"1091",21,"calf"
"64",1,"1091",22,"calf"
"65",1,"1091",23,"calf"
"66",1,"1091",24,"calf"
"67",1,"1091",25,"calf"
"68",1,"1091",26,"calf"
"69",1,"1091",27,"calf"
"70",1,"1091",28,"calf"
"71",1,"1091",29,"calf"
"72",1,"1091",30,"juvenile"
"73",1,"1091",31,"juvenile"
"74",1,"1091",32,"juvenile"
"75",1,"1091",33,"juvenile"
"76",1,"1091",34,"juvenile"
"77",1,"1091",35,"juvenile"
"78",1,"1091",36,"juvenile"
"79",1,"1091",37,"juvenile"
"80",1,"1091",38,"juvenile"
"81",1,"1091",39,"juvenile"
"82",1,"1091",40,"juvenile"
"83",1,"1091",41,"juvenile"
"84",1,"1091",42,"juvenile"
"85",1,"1092",1,"unborn"
"86",1,"1092",2,"unborn"
"87",1,"1092",3,"unborn"
"88",1,"1092",4,"unborn"
"89",1,"1092",5,"unborn"
"90",1,"1092",6,"unborn"
"91",1,"1092",7,"unborn"
"92",1,"1092",8,"unborn"
"93",1,"1092",9,"unborn"
"94",1,"1092",10,"unborn"
"95",1,"1092",11,"unborn"
"96",1,"1092",12,"unborn"
"97",1,"1092",13,"unborn"
"98",1,"1092",14,"unborn"
"99",1,"1092",15,"unborn"
"100",1,"1092",16,"unborn"
"101",1,"1092",17,"unborn"
"102",1,"1092",18,"unborn"
"103",1,"1092",19,"unborn"
"104",1,"1092",20,"unborn"
"105",1,"1092",21,"unborn"
"106",1,"1092",22,"unborn"
"107",1,"1092",23,"unborn"
"108",1,"1092",24,"unborn"
"109",1,"1092",25,"unborn"
"110",1,"1092",26,"unborn"
"111",1,"1092",27,"unborn"
"112",1,"1092",28,"unborn"
"113",1,"1092",29,"unborn"
"114",1,"1092",30,"calf"
"115",1,"1092",31,"calf"
"116",1,"1092",32,"calf"
"117",1,"1092",33,"calf"
"118",1,"1092",34,"calf"
"119",1,"1092",35,"calf"
"120",1,"1092",36,"calf"
"121",1,"1092",37,"calf"
"122",1,"1092",38,"calf"
"123",1,"1092",39,"calf"
"124",1,"1092",40,"calf"
"125",1,"1092",41,"calf"
"126",1,"1092",42,"calf"
"127",1,"1093",1,"unborn"
"128",1,"1093",2,"unborn"
"129",1,"1093",3,"unborn"
"130",1,"1093",4,"unborn"
"131",1,"1093",5,"unborn"
"132",1,"1093",6,"unborn"
"133",1,"1093",7,"unborn"
"134",1,"1093",8,"unborn"
"135",1,"1093",9,"unborn"
"136",1,"1093",10,"unborn"
"137",1,"1093",11,"unborn"
"138",1,"1093",12,"unborn"
"139",1,"1093",13,"unborn"
"140",1,"1093",14,"unborn"
"141",1,"1093",15,"unborn"
"142",1,"1093",16,"unborn"
"143",1,"1093",17,"unborn"
"144",1,"1093",18,"unborn"
"145",1,"1093",19,"unborn"
"146",1,"1093",20,"unborn"
"147",1,"1093",21,"unborn"
"148",1,"1093",22,"unborn"
"149",1,"1093",23,"unborn"
"150",1,"1093",24,"unborn"
"151",1,"1093",25,"unborn"
"152",1,"1093",26,"unborn"
"153",1,"1093",27,"unborn"
