"","trial","id","time","age_group"
"1",1,"1054",1,"calf"
"2",1,"1054",2,"juvenile"
"3",1,"1054",3,"juvenile"
"4",1,"1054",4,"juvenile"
"5",1,"1054",5,"juvenile"
"6",1,"1054",6,"adult"
"7",1,"1054",7,"adult"
"8",1,"1054",8,"adult"
"9",1,"1054",9,"adult"
"10",1,"1054",10,"adult"
"11",1,"1054",11,"adult"
"12",1,"1054",12,"adult"
"13",1,"1054",13,"adult"
"14",1,"1054",14,"adult"
"15",1,"1054",15,"adult"
"16",1,"1054",16,"adult"
"17",1,"1054",17,"adult"
"18",1,"1054",18,"adult"
"19",1,"1054",19,"adult"
"20",1,"1054",20,"adult"
"21",1,"1054",21,"adult"
"22",1,"1054",22,"adult"
"23",1,"1054",23,"adult"
"24",1,"1054",24,"adult"
"25",1,"1054",25,"adult"
"26",1,"1054",26,"adult"
"27",1,"1054",27,"adult"
"28",1,"1054",28,"adult"
"29",1,"1054",29,"adult"
"30",1,"1054",30,"adult"
"31",1,"1054",31,"adult"
"32",1,"1054",32,"adult"
"33",1,"1054",33,"adult"
"34",1,"1054",34,"adult"
"35",1,"1054",35,"adult"
"36",1,"1054",36,"adult"
"37",1,"1054",37,"adult"
"38",1,"1054",38,"adult"
"39",1,"1054",39,"adult"
"40",1,"1054",40,"adult"
"41",1,"1054",41,"adult"
"42",1,"1054",42,"adult"
"43",1,"1054",43,"adult"
"44",1,"1054",44,"adult"
"45",1,"1054",45,"adult"
"46",1,"1054",46,"adult"
"47",1,"1054",47,"adult"
"48",1,"1054",48,"adult"
"49",1,"1054",49,"adult"
"50",1,"1054",50,"adult"
"51",1,"1054",51,"adult"
"52",1,"1054",52,"adult"
"53",1,"1054",53,"adult"
"54",1,"1054",54,"adult"
"55",1,"1054",55,"adult"
"56",1,"1054",56,"adult"
"57",1,"1091",1,"unborn"
"58",1,"1091",2,"unborn"
"59",1,"1091",3,"unborn"
"60",1,"1091",4,"unborn"
"61",1,"1091",5,"unborn"
"62",1,"1091",6,"unborn"
"63",1,"1091",7,"unborn"
