id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
AAN,no,NA,NA,yes
ABB,no,NA,NA,no
ABE,yes,yes,64,no
ABS,yes,yes,31,no
ACA,no,NA,NA,no
ACD,no,NA,NA,no
ADA,no,NA,NA,yes
ADM,no,NA,NA,no
ADR,no,NA,NA,no
AEN,no,NA,NA,no
AID,no,NA,NA,no
AIN,no,NA,NA,no
AJA,yes,yes,43,no
AKA,no,NA,NA,no
ALA,no,NA,NA,no
ALE,no,NA,NA,no
ALI,no,NA,NA,no
ALL,no,NA,NA,no
ALM,no,NA,NA,yes
ALN,no,NA,NA,yes
AMA,no,NA,NA,no
AME,no,NA,NA,no
AMI,no,NA,NA,no
AMP,no,NA,NA,no
AMY,no,NA,NA,no
AND,no,NA,NA,no
ANG,no,NA,NA,no
ANI,no,NA,NA,yes
ANJ,no,NA,NA,no
ANN,no,NA,NA,no
ANS,no,NA,NA,yes
APP,no,NA,NA,no
APR,no,NA,NA,no
AQU,no,NA,NA,yes
ARA,no,NA,NA,no
ARC,no,NA,NA,no
ARI,no,NA,NA,no
ARL,yes,yes,62,no
ARM,no,NA,NA,yes
ARN,no,NA,NA,no
ART,no,NA,NA,yes
ASH,no,NA,NA,no
AST,no,NA,NA,no
ATH,no,NA,NA,no
ATI,yes,yes,37,no
AUG,no,NA,NA,no
AUS,no,NA,NA,no
AXE,no,NA,NA,no
BAA,no,NA,NA,no
BAB,no,NA,NA,no
BAC,no,NA,NA,no
BAD,no,NA,NA,yes
BAI,yes,yes,19,no
BAK,no,NA,NA,no
BAN,no,NA,NA,no
BAQ,no,NA,NA,no
BAR,no,NA,NA,no
BAS,no,NA,NA,no
BAT,no,NA,NA,no
BAU,no,NA,NA,no
BBO,no,NA,NA,no
BBR,no,NA,NA,no
BCD,yes,yes,51,no
BDO,no,NA,NA,yes
BDR,no,NA,NA,no
BEA,no,NA,NA,no
BEC,no,NA,NA,no
BEE,no,NA,NA,yes
BEL,no,NA,NA,yes
BEM,no,NA,NA,yes
BEN,no,NA,NA,no
BER,no,NA,NA,yes
BET,no,NA,NA,no
BEV,no,NA,NA,no
BFY,no,NA,NA,no
BIA,no,NA,NA,no
BIE,no,NA,NA,no
BIG,no,NA,NA,no
BIL,yes,yes,29,yes
BIT,no,NA,NA,yes
BJA,no,NA,NA,no
BJL,yes,yes,74,yes
BJO,no,NA,NA,yes
BKE,no,NA,NA,no
BLA,no,NA,NA,no
BLH,no,NA,NA,yes
BLK,no,NA,NA,yes
BLO,yes,no,70,yes
BLP,no,NA,NA,no
BLS,no,NA,NA,yes
BLT,no,NA,NA,no
BLU,no,NA,NA,no
BLW,no,NA,NA,no
BNA,no,NA,NA,no
BND,no,NA,NA,yes
BNG,no,NA,NA,yes
BNJ,no,NA,NA,yes
BNN,no,NA,NA,no
BNO,yes,no,71,no
BOA,no,NA,NA,yes
BOB,no,NA,NA,yes
BOE,no,NA,NA,yes
BOG,no,NA,NA,yes
BON,yes,yes,36,no
BOO,no,NA,NA,no
BOR,no,NA,NA,no
BOS,no,NA,NA,no
BOT,no,NA,NA,no
BOU,no,NA,NA,yes
BOV,no,NA,NA,yes
BOW,no,NA,NA,no
BOZ,no,NA,NA,no
BRA,no,NA,NA,yes
BRB,no,NA,NA,yes
BRC,no,NA,NA,no
BRD,no,NA,NA,no
BRE,no,NA,NA,no
BRF,no,NA,NA,yes
BRG,no,NA,NA,no
BRH,no,NA,NA,no
BRI,no,NA,NA,no
BRK,no,NA,NA,no
BRL,no,NA,NA,yes
BRN,yes,yes,28,no
BRO,no,NA,NA,no
BRR,no,NA,NA,no
BRT,no,NA,NA,no
BRU,no,NA,NA,no
BRW,no,NA,NA,yes
BRY,no,NA,NA,no
BRZ,no,NA,NA,yes
BSH,yes,yes,56,no
BTI,no,NA,NA,no
BTL,no,NA,NA,yes
BTS,no,NA,NA,no
BTY,no,NA,NA,no
BUA,no,NA,NA,no
BUB,no,NA,NA,yes
BUC,yes,yes,57,no
BUE,no,NA,NA,no
BUF,no,NA,NA,no
BUG,no,NA,NA,no
BUN,yes,yes,18,no
BUR,no,NA,NA,no
BUT,no,NA,NA,no
CAB,no,NA,NA,no
CAC,no,NA,NA,no
CAI,no,NA,NA,no
CAK,no,NA,NA,no
CAL,no,NA,NA,no
CAN,no,NA,NA,yes
CAO,no,NA,NA,no
CAP,no,NA,NA,no
CAR,no,NA,NA,yes
CAS,no,NA,NA,no
CAT,no,NA,NA,no
CCD,no,NA,NA,yes
CCO,no,NA,NA,yes
CEA,no,NA,NA,no
CEL,no,NA,NA,no
CER,no,NA,NA,yes
CES,no,NA,NA,yes
CGH,no,NA,NA,no
CHA,no,NA,NA,no
CHE,no,NA,NA,no
CHI,no,NA,NA,no
CHK,no,NA,NA,no
CHL,no,NA,NA,no
CHO,no,NA,NA,no
CHP,no,NA,NA,no
CHR,no,NA,NA,no
CHS,no,NA,NA,yes
CHY,no,NA,NA,no
CHZ,no,NA,NA,yes
CIL,no,NA,NA,yes
CIN,no,NA,NA,no
CIS,no,NA,NA,yes
CIT,no,NA,NA,yes
CLA,no,NA,NA,no
CLD,no,NA,NA,no
CLE,no,NA,NA,no
CLI,no,NA,NA,no
CLL,no,NA,NA,no
CLO,no,NA,NA,yes
CLR,no,NA,NA,no
CLU,no,NA,NA,no
CLV,no,NA,NA,no
CLY,no,NA,NA,yes
CNA,no,NA,NA,no
CNC,no,NA,NA,yes
CNN,no,NA,NA,no
CNO,no,NA,NA,no
CNR,no,NA,NA,no
CNT,yes,no,67,yes
CNY,yes,yes,54,no
COA,no,NA,NA,yes
COB,no,NA,NA,yes
COC,yes,yes,38,no
COI,no,NA,NA,yes
COL,no,NA,NA,yes
COM,no,NA,NA,yes
CON,no,NA,NA,no
COO,no,NA,NA,no
COR,yes,yes,13,no
COS,no,NA,NA,no
COU,no,NA,NA,yes
CPC,no,NA,NA,no
CPP,no,NA,NA,yes
CPS,no,NA,NA,no
CPT,no,NA,NA,no
CRA,no,NA,NA,no
CRB,no,NA,NA,yes
CRC,no,NA,NA,no
CRE,no,NA,NA,yes
CRI,no,NA,NA,no
CRK,no,NA,NA,yes
CRN,no,NA,NA,no
CRO,no,NA,NA,no
CRP,no,NA,NA,no
CRR,no,NA,NA,yes
CRS,no,NA,NA,no
CRT,yes,no,66,yes
CRY,no,NA,NA,no
CSS,no,NA,NA,no
CTE,no,NA,NA,no
CTO,no,NA,NA,yes
CTR,no,NA,NA,yes
CUB,yes,yes,11,no
CUE,no,NA,NA,yes
CUR,no,NA,NA,no
CWD,no,NA,NA,no
DAB,no,NA,NA,no
DAI,yes,yes,4,no
DAL,no,NA,NA,no
DAM,no,NA,NA,no
DAN,no,NA,NA,no
DAR,no,NA,NA,no
DAV,no,NA,NA,no
DAW,no,NA,NA,no
DBD,no,NA,NA,no
DCO,no,NA,NA,no
DEB,no,NA,NA,no
DEC,no,NA,NA,no
DEF,no,NA,NA,no
DEI,no,NA,NA,yes
DEL,no,NA,NA,yes
DEM,no,NA,NA,no
DEN,no,NA,NA,no
DEP,yes,no,40,no
DER,no,NA,NA,no
DES,no,NA,NA,no
DET,no,NA,NA,no
DEV,no,NA,NA,yes
DEW,no,NA,NA,yes
DGG,no,NA,NA,no
DIA,no,NA,NA,no
DIC,no,NA,NA,no
DID,no,NA,NA,yes
DIE,no,NA,NA,no
DIG,no,NA,NA,no
DIN,no,NA,NA,no
DIR,no,NA,NA,no
DKM,no,NA,NA,yes
DLB,no,NA,NA,no
DLY,no,NA,NA,yes
DNI,no,NA,NA,no
DNK,no,NA,NA,yes
DNS,no,NA,NA,no
DOK,no,NA,NA,yes
DOL,no,NA,NA,no
DOM,no,NA,NA,no
DON,no,NA,NA,no
DOO,no,NA,NA,no
DOR,no,NA,NA,no
DOT,no,NA,NA,yes
DOU,no,NA,NA,no
DRA,no,NA,NA,no
DRC,no,NA,NA,no
DRG,no,NA,NA,no
DRO,no,NA,NA,no
DRP,no,NA,NA,yes
DRT,no,NA,NA,no
DSD,no,NA,NA,yes
DSK,no,NA,NA,yes
DSN,no,NA,NA,no
DSV,no,NA,NA,yes
DUB,no,NA,NA,yes
DUD,no,NA,NA,no
DUG,no,NA,NA,no
DUM,no,NA,NA,yes
DUN,yes,yes,59,no
DVD,no,NA,NA,no
DVI,no,NA,NA,yes
DVN,no,NA,NA,no
DXT,no,NA,NA,no
DYL,no,NA,NA,no
EAS,no,NA,NA,yes
EAZ,no,NA,NA,no
EEM,no,NA,NA,no
EEN,no,NA,NA,no
EIE,no,NA,NA,no
EIL,no,NA,NA,no
ELA,no,NA,NA,no
ELE,no,NA,NA,no
ELI,no,NA,NA,no
ELL,no,NA,NA,no
ELM,no,NA,NA,no
ELO,no,NA,NA,no
EMI,no,NA,NA,no
EMU,yes,yes,8,yes
END,no,NA,NA,yes
ERI,no,NA,NA,no
