"","BEGR","BOOT","BOXR","C596","C834","C835","C991","CWM3","DRSN","F102","F106","F108","F109","F110","F113","F114","F118","F123","F125","F127","F128","F131","F133","F134","F135","F137","F138","F141","F142","F146","F148","F149","F151","F153","F154","F155","F157","F159","F162","F164","F165","F167","F175","F176","F178","F180","F181","F182","F188","F190","F194","F196","F198","F203","F215","F218","F219","F220","F222","F228","F236","F237","F248","F258","F268","F276","FB02","FB05","FB07","FB09","FB10","FB11","FB13","FB15","FB20","FB25","FB27","FB28","FB33","FB35","FB36","FB43","FB44","FB48","FB54","FB55","FB63","FB65","FB66","FB78","FB79","FB87","FB90","FB92","FB93","HAIR","HBMB","HIQQ","IKN2","JOSC","LDMA","LIZD","LNPC","LNPF","M145","MPTB","PNBT","PSDQ","RTMW","RY34","SOLB","TCTV","TDTL","TSMV","VSTH","WHOO","ZELD"
"BEGR",1,0,0,0,0,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0,0.000929368029739777,0,0,0,0,0,0.000935453695042095,0,0.00119047619047619,0,0,0,0,0.00138312586445367,0,0,0,0,0,0,0,0,0.000763358778625954,0,0,0,0,0,0,0,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119904076738609,0,0,0,0,0,0,0,0,0,0.00412371134020619,0,0,0,0.00340715502555366,0,0,0,0,0,0,0,0,0,0.00113250283125708,0.000864304235090752,0,0,0,0.00420609884332282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOOT",0,1,0,0,0,0,0.00956937799043062,0,0,0,0.00169491525423729,0,0,0,0.00835322195704057,0,0.00244200244200244,0,0,0,0,0.00111358574610245,0.00492004920049201,0,0.00481540930979133,0.0055452865064695,0.00439882697947214,0.0123456790123457,0,0.00323275862068966,0.00254452926208651,0.00246913580246914,0.0141414141414141,0,0,0.00248447204968944,0.00686106346483705,0.00300751879699248,0,0.00291545189504373,0.00408997955010225,0,0,0.00337837837837838,0.00123609394313968,0,0,0,0.00289017341040462,0.00505050505050505,0,0.00278551532033426,0,0.00943396226415094,0.00359712230215827,0,0,0.00850340136054422,0.00705467372134039,0.00152439024390244,0,0.00862068965517241,0,0,0,0,0,0,0.00346420323325635,0.00699300699300699,0.00156985871271586,0.00196850393700787,0,0,0,0,0.0036036036036036,0.00710900473933649,0,0,0.00952380952380952,0,0,0.00970873786407767,0.00335570469798658,0,0,0.00112359550561798,0.0015600624024961,0,0.00129533678756477,0,0.003996003996004,0,0,0.00636942675159236,0,0,0,0,0.0078125,0,0.0072463768115942,0.00740740740740741,0,0,0.309090909090909,0,0,0,0,0,0,0,0.234234234234234,0,0
"BOXR",0,0,1,0.00716845878136201,0.0400616332819723,0.0174520069808028,0.00467289719626168,0,0.00636942675159236,0.0108991825613079,0.0062111801242236,0.00591715976331361,0.00384615384615385,0.0127970749542962,0.0056710775047259,0.00165289256198347,0.0126582278481013,0.00398936170212766,0.0122399020807834,0.00113250283125708,0.0144766146993318,0.00902527075812274,0.00778210116731518,0.00561797752808989,0.00118483412322275,0.0105960264900662,0.0134529147982063,0,0.0416666666666667,0.0123239436619718,0.00199004975124378,0.0113268608414239,0.00417827298050139,0.00179533213644524,0,0.00489715964740451,0.00876095118898623,0.00796359499431172,0,0.0445269016697588,0.0056657223796034,0.00248756218905473,0.00792253521126761,0.00978473581213307,0.0117994100294985,0.00550964187327824,0.00458015267175573,0.0422535211267606,0.0110741971207087,0.00488599348534202,0.00764818355640535,0.00859291084854995,0.00638297872340425,0.0109375,0.00403225806451613,0.00319488817891374,0.00963855421686747,0.0124688279301746,0.00253807106598985,0.0103806228373702,0.0530546623794212,0.0836501901140684,0.038,0.0688622754491018,0.00966850828729282,0.0518867924528302,0.0496732026143791,0.00139664804469274,0.00740740740740741,0.00125944584382872,0.00351288056206089,0.0032441200324412,0,0,0.066079295154185,0.00123915737298637,0.00910273081924577,0.00782472613458529,0.00641711229946524,0.0023696682464455,0.00402144772117962,0,0.0311355311355311,0.00707547169811321,0.00179533213644524,0.00325732899022801,0,0.00909090909090909,0.0311377245508982,0,0.00100908173562059,0.0119047619047619,0.00410172272354389,0.0158061116965227,0.00766283524904215,0.0272479564032698,0.00275482093663912,0.0113314447592068,0.012280701754386,0.0122950819672131,0.00288184438040346,0,0.0170454545454545,0.0171919770773639,0,0.0396039603960396,0,0.00289017341040462,0.0165745856353591,0.0355140186915888,0.0156555772994129,0.00815217391304348,0.00911854103343465,0.0029673590504451,0,0.00286532951289398,0.00313479623824451
"C596",0,0,0.00716845878136201,1,0.010233918128655,0.0239316239316239,0,0.00279329608938547,0.00616016427104723,0,0.0122549019607843,0.0019047619047619,0.00569259962049336,0.0106382978723404,0.0256410256410256,0.00484652665589661,0.0183220829315333,0.00521512385919166,0.0144404332129964,0.00558659217877095,0.00760869565217391,0.052924791086351,0.0193798449612403,0,0.00819672131147541,0.0038659793814433,0.0143329658213892,0.0031104199066874,0.00582241630276565,0.031858407079646,0.015888778550149,0.0110410094637224,0.00545702592087312,0,0,0.0126336248785228,0.00488997555012225,0.0415704387990762,0,0.00871080139372822,0.0521739130434783,0.00479616306954436,0.00519480519480519,0.00757575757575758,0.0195121951219512,0,0.00597014925373134,0.0106951871657754,0.0253863134657837,0.0111821086261981,0.00369685767097967,0.0170394036208733,0.0201484623541888,0.00759878419452888,0.00194931773879142,0.010989010989011,0.00694444444444444,0.0337078651685393,0.104109589041096,0.0229357798165138,0.0517241379310345,0.0155979202772964,0.0328185328185328,0.0224089635854342,0.0204918032786885,0.00735294117647059,0.030188679245283,0.00136612021857923,0.010064043915828,0.0099626400996264,0.0115874855156431,0.00885668276972625,0.00826446280991736,0.00484261501210654,0.0271398747390397,0.00365408038976857,0.0127877237851662,0.0045662100456621,0.00630914826498423,0.00228310502283105,0.00923482849604222,0,0.0104712041884817,0,0.00354609929078014,0.00642398286937901,0.00318979266347687,0.0144144144144144,0.0068886337543054,0.00410396716826265,0.008,0.00825082508250825,0.0147299509001637,0.0113519091847265,0.00750938673341677,0,0.00263852242744063,0,0.0331010452961672,0.0179640718562874,0.00275482093663912,0.00277777777777778,0.00268096514745308,0.0027027027027027,0.00508905852417303,0.0207547169811321,0,0,0,0.0196779964221825,0.0113421550094518,0,0,0.0028328611898017,0,0.00273972602739726,0
"C834",0,0,0.0400616332819723,0.010233918128655,1,0.0244604316546763,0,0.00425531914893617,0.0220338983050847,0,0.00643086816720257,0.00947867298578199,0.0353045013239188,0.00589101620029455,0.00167926112510495,0.038135593220339,0.0165217391304348,0.0091324200913242,0.0279569892473118,0.0263424518743668,0.0431293881644935,0.0374376039933444,0.00258175559380379,0,0.00308959835221421,0,0.0187376725838264,0,0.105914718019257,0.00550314465408805,0,0,0.00354191263282172,0.00585651537335286,0,0.010498687664042,0,0.00995024875621891,0,0.0176470588235294,0.00119331742243437,0.0152671755725191,0.0151394422310757,0,0.011353711790393,0,0,0.206944444444444,0.00968992248062015,0,0.00459418070444104,0.0171428571428571,0.0131950989632422,0.00129032258064516,0,0,0.0223880597014925,0.00212992545260916,0.00657174151150055,0.00099601593625498,0.035667107001321,0.0174672489082969,0.0125,0.0420271940667491,0.0287081339712919,0.0827679782903663,0.0448430493273543,0,0.00247116968698517,0.00108342361863489,0.00203252032520325,0.00886262924667651,0.015625,0.00533049040511727,0.0447619047619048,0.0140692640692641,0.0237556561085973,0.0038961038961039,0.0028116213683224,0.00914076782449726,0.00572737686139748,0,0.0116959064327485,0,0.000803858520900322,0.000950570342205323,0,0.00405186385737439,0.0102040816326531,0.0107398568019093,0.0172413793103448,0.0182841068917018,0.000739644970414201,0.0148560817084494,0.0154867256637168,0,0,0,0.0202312138728324,0.00972447325769854,0,0.00851063829787234,0,0,0.0019723865877712,0.0186915887850467,0,0,0,0.0224550898203593,0.00777604976671851,0.0101010101010101,0.00217391304347826,0,0,0.0458515283842795,0
"C835",0,0,0.0174520069808028,0.0239316239316239,0.0244604316546763,1,0,0,0.0179282868525896,0,0.00236686390532544,0.00736648250460405,0.00745573159366263,0.0368421052631579,0,0.0141955835962145,0.00466417910447761,0.00253164556962025,0.0273483947681332,0.0188053097345133,0.0117395944503735,0.0221238938053097,0.00186741363211951,0,0,0,0.00749464668094218,0,0.0318840579710145,0.00508044030482642,0,0.00151285930408472,0,0.00847457627118644,0.0022271714922049,0.00567644276253548,0,0.00326086956521739,0,0.00334448160535117,0.00673854447439353,0.0185185185185185,0.0111206159110351,0,0.00661000944287063,0,0,0.0170157068062827,0.00849256900212314,0,0.010752688172043,0.012448132780083,0.0186528497409326,0.0103397341211226,0,0,0.00662251655629139,0,0.0110024449877751,0.00109649122807018,0.0236686390532544,0.00998336106489185,0.160751565762004,0.0189959294436906,0.0158730158730159,0.014367816091954,0.0256410256410256,0,0.00178094390026714,0.00120336943441637,0.00224215246636771,0.00157232704402516,0.0134589502018843,0.0035377358490566,0.0151515151515152,0.00237247924080664,0.0111940298507463,0,0,0,0.00255102040816327,0.00145137880986938,0.0152284263959391,0,0,0.00104166666666667,0,0.00087260034904014,0.00111482720178372,0.00532623169107856,0.00783545543584721,0.0463576158940397,0.000793650793650794,0.00401203610832497,0.00731707317073171,0,0.0025,0,0.225548902195609,0.0792682926829268,0,0.0026246719160105,0,0,0,0.0446096654275093,0,0,0,0.0368421052631579,0.033457249070632,0.00245700245700246,0,0,0,0.00519480519480519,0
"C991",0,0.00956937799043062,0.00467289719626168,0,0,0,1,0,0,0.0159362549800797,0.00579710144927536,0,0.00432900432900433,0,0.00958466453674121,0,0.0109409190371991,0,0.00282087447108604,0,0.00505689001264223,0.00501504513540622,0.00327153762268266,0.00833333333333333,0.0195804195804196,0.0221169036334913,0.00767263427109974,0.0709812108559499,0,0.0137254901960784,0.0194508009153318,0.00592885375494071,0.0467128027681661,0,0,0.00552486187845304,0.0207100591715976,0.023936170212766,0.0161290322580645,0.0205479452054795,0,0,0.000972762645914397,0.0050251256281407,0.0110741971207087,0,0.00556586270871985,0,0.00886075949367089,0.01417004048583,0,0.00734394124847001,0.00728155339805825,0.0114285714285714,0.0380434782608696,0.00589390962671906,0,0,0.00747384155455904,0.00263852242744063,0,0,0,0.00335570469798658,0.00819672131147541,0,0,0.00166666666666667,0.00413223140495868,0,0,0.00538116591928251,0,0,0.00117508813160987,0,0.00303951367781155,0.00571428571428571,0.00121359223300971,0,0.00158227848101266,0,0,0.0032258064516129,0.00806451612903226,0.0112640801001252,0.00201612903225806,0.00100704934541793,0,0,0.00574052812858783,0,0.000903342366757001,0.00118063754427391,0,0.0155642023346304,0,0.0126050420168067,0,0,0,0,0.0386266094420601,0.0346320346320346,0,0,0.0040650406504065,0,0.008,0,0,0,0.0188679245283019,0,0.00418410041841004,0,0.0515463917525773
"CWM3",0,0,0,0.00279329608938547,0.00425531914893617,0,0,1,0,0,0.00165016501650165,0,0.00238379022646007,0.00285714285714286,0,0.00248756218905473,0.00119617224880383,0,0.00160513643659711,0,0,0,0,0,0,0,0.00142857142857143,0,0,0.00105708245243129,0,0,0,0,0,0.00121654501216545,0,0.00146627565982405,0.00609756097560976,0,0.00396039603960396,0,0.00319488817891374,0,0,0.0062111801242236,0,0.00186567164179104,0,0,0,0.00136054421768707,0.00405405405405405,0,0,0,0.0964467005076142,0,0,0.0029806259314456,0,0,0,0,0.00189753320683112,0,0,0,0,0.00169204737732657,0.00770416024653313,0,0,0,0,0.00665557404326123,0.0070298769771529,0,0,0,0.0018348623853211,0.0022271714922049,0,0.00448430493273543,0,0,0,0.0044296788482835,0.0015220700152207,0,0.00254129606099111,0.0103092783505155,0.00196270853778214,0.00131578947368421,0.00687285223367698,0,0.133802816901408,0,0,0,0,0.0142857142857143,0,0,0.113924050632911,0,0,0.142857142857143,0,0,0.00317460317460317,0.00598802395209581,0,0.08,0,0.00684931506849315,0
"DRSN",0,0,0.00636942675159236,0.00616016427104723,0.0220338983050847,0.0179282868525896,0,0,1,0,0.00408163265306122,0.0631067961165049,0.0114464099895942,0.0147368421052632,0.00100908173562059,0.0249520153550864,0.00310880829015544,0.00737463126843658,0.00801068090787717,0.00744416873449132,0.00358851674641148,0.0125847047434656,0.00207900207900208,0,0,0,0.00361881785283474,0,0.00166112956810631,0.000928505106778087,0,0.00181159420289855,0,0.0146137787056367,0,0,0,0.00493827160493827,0,0,0,0.0376175548589342,0.00845864661654135,0,0,0,0,0.0261136712749616,0.00119047619047619,0,0.00886917960088692,0.0023121387283237,0.00807381776239908,0,0,0,0.00872093023255814,0,0.00139470013947001,0,0.00344234079173838,0,0.0090293453724605,0.003125,0.0030441400304414,0.0187713310580205,0.00136986301369863,0.0031104199066874,0.00594059405940594,0,0.0115979381443299,0.00431034482758621,0.00782472613458529,0.0108991825613079,0.00448430493273543,0.023643949930459,0.0383480825958702,0,0.0046242774566474,0.0446428571428571,0.00894187779433681,0.0121951219512195,0.0424628450106157,0.0056657223796034,0.00191938579654511,0,0,0.00193050193050193,0.00509554140127389,0.00623052959501558,0.0143329658213892,0.082815734989648,0.00261096605744125,0.00224719101123596,0.0213675213675214,0,0.00689655172413793,0,0.0120240480961924,0.00956937799043062,0,0.00738007380073801,0,0,0.00655737704918033,0.0342465753424658,0,0,0,0.0387931034482759,0.0113122171945701,0.0170068027210884,0,0,0,0.0036101083032491,0
"F102",0,0,0.0108991825613079,0,0,0,0.0159362549800797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00106157112526539,0,0.0338983050847458,0,0.00341296928327645,0,0.0022075055187638,0,0,0.00120336943441637,0.0112359550561798,0.00552486187845304,0,0,0,0.00317965023847377,0,0.0376344086021505,0,0,0,0,0.00294117647058824,0,0,0.0125786163522013,0,0,0.00454545454545455,0,0,0,0.00425531914893617,0.00623052959501558,0,0,0,0.00162866449511401,0.00142857142857143,0,0.010230179028133,0,0,0,0,0,0,0,0.00161550888529887,0.00146842878120411,0.000942507068803016,0,0,0,0,0.00166666666666667,0.00213675213675214,0,0,0,0,0,0.00398406374501992,0,0.00133689839572193,0,0.00321888412017167,0,0,0,0,0.000954198473282443,0,0,0.0631578947368421,0,0.733333333333333,0,0,0.0297619047619048,0,0.0338983050847458,0.0465116279069767,0,0,0,0,0.0546448087431694,0,0,0,0.0328947368421053,0,0,0,0.013986013986014
