"","Mom","Alias","BirthYear","Depart"
"1","F105","1054",1991,1997
"2","F109","1091",2006,2012
"3","F109","1092",2010,2016
"4","F109","1093",2013,2019
"5","F113","1132",2007,2013
"6","F113","1134",2013,2019
"7","F113","1135",2014,2020
"8","F123","1231",2012,2018
"9","F125","1251",2005,2011
"10","F125","1253",2011,2017
"11","F131","1312",1999,2005
"12","F131","1313",2002,2008
"13","F131","1314",2004,2010
"14","F131","1315",2006,2012
"15","F131","1316",2010,2016
"16","F131","1317",2013,2019
"17","F135","1351",2010,2016
"18","F137","1373",2014,2020
"19","F141","1412",2004,2010
"20","F141","1414",2011,2017
"21","F141","1415",2014,2020
"22","M145","1452",1985,1991
"23","M145","1453",2002,2008
"24","M145","1454",1985,1991
"25","M145","1455",2008,2014
"26","M145","1456",2011,2017
"27","M145","1457",2014,2020
"28","F149","1494",2005,2011
"29","F149","1495",2010,2016
"30","F149","1496",2013,2019
"31","F151","1511",2011,2017
"32","F153","1535",1995,2001
"33","F153","1536",1999,2005
"34","F155","1551",1999,2005
"35","F155","1555",2012,2018
"36","F155","1556",2013,2019
"37","F157","1575",2008,2014
"38","F159","1591",2008,2014
"39","F159","1593",2013,2019
"40","F165","1651",2011,2017
"41","F167","1672",2005,2011
"42","F167","1673",2010,2016
"43","F167","1674",2013,2019
"44","F171","1711",2012,2018
"45","F175","1753",2008,2014
"46","F179","1791",2013,2019
"47","F181","1813",2008,2014
"48","F183","1832",1993,1999
"49","F183","1833",1998,2004
"50","F183","1834",2006,2012
"53","F199","1991",2011,2017
"54","F199","1992",2013,2019
"55","F207","2071",2014,2020
"56","F209","2091",2013,2019
"57","F210","2102",1985,1991
"58","F215","2151",2009,2015
"59","F215","2152",2013,2019
"60","F219","2193",2010,2016
"61","F219","2194",2013,2019
"62","F223","2231",2013,2019
"63","F225","2252",1985,1991
"64","F225","2253",2011,2017
"65","B226","226C",2007,2013
"66","F227","2271",2014,2020
"67","F231","2313",2012,2018
"68","SCTN","2SCT",2006,2012
"70",NA,"2SDN",1985,1991
"71",NA,"2XUU",1985,1991
"72","YELP","2YEL",2008,2014
"73","49LA","49C3",1985,1991
"74",NA,"49IS",1985,1991
"75",NA,"49LA",1985,1991
"76","F219","4C42",2008,2014
"77","F219","4C4C",2003,2009
"79",NA,"AARD",1985,1991
"80",NA,"AAXE",1985,1991
"81",NA,"ABGL",1985,1991
"82","ALHK","ALH2",1985,1991
"83","ALHK","ALH3",2004,2010
"84",NA,"ALHK",1985,1991
"85","ALHK","ALKC",1985,1991
"86","TEKK","ALOT",1985,1991
"87",NA,"AMTS",1985,1991
"88","AMVM","AMV1",2011,2017
"89",NA,"AMVM",1985,1991
"90",NA,"APEM",1985,1991
"91",NA,"APLO",1985,1991
"92",NA,"ARCE",1985,1991
"93","ARRR","ARRC",2004,2010
"94",NA,"ARRR",1985,1991
"95",NA,"ASPK",1985,1991
"96",NA,"ATMM",1997,2003
"97",NA,"ATNA",1985,1991
"98",NA,"ATRD",1985,1991
"99",NA,"B026",1985,1991
"100",NA,"B032",1985,1991
"101",NA,"B033",1985,1991
"102","MDNK","B053",1985,1991
"103",NA,"B207",1985,1991
"104",NA,"B226",1985,1991
"105","B053","B531",2013,2019
"106",NA,"BASH",1985,1991
"107","BBLN","BBL2",1993,1999
"108","BBLN","BBL3",1985,1991
"109",NA,"BBLN",1985,1991
"110",NA,"BBMM",1985,1991
"111",NA,"BDSP",1985,1991
"112","PINT","BEAN",1985,1991
"113",NA,"BEGR",1980,1986
"114",NA,"BESR",1985,1991
"115",NA,"BEWT",1985,1991
"116",NA,"BGET",1985,1991
"117",NA,"BGSQ",1985,1991
"118","BIKO","BIK1",1985,1991
"119","BIKO","BIK2",2010,2016
"120",NA,"BIKO",1985,1991
"121","BKHO","BKH1",1985,1991
"122","BKHO","BKH2",1985,1991
"123","BKHO","BKH3",1985,1991
"124",NA,"BKHO",1985,1991
"125",NA,"BKTL",1985,1991
"126",NA,"BKTS",1985,1991
"127",NA,"BKUS",1985,1991
"128",NA,"BLNK",1985,1991
"129",NA,"BLTR",1985,1991
"130",NA,"BMRD",1985,1991
"131",NA,"BNDS",1985,1991
"132",NA,"BNKP",1985,1991
"133",NA,"BNSE",1985,1991
"134","BOOT","BOO2",1985,1991
"135","BOOT","BOO3",2013,2019
"136","BOOT","BOOC",1985,1991
"137",NA,"BOOT",1985,1991
"138","BOXR","BOX1",2006,2012
"139",NA,"BOXR",1985,1991
"140",NA,"BRAC",1985,1991
"141",NA,"BRAN",1985,1991
"143","BRAC","BRC3",1985,1991
"144","BRAC","BRC4",1985,1991
"146",NA,"BRCH",1985,1991
"147","BRDO","BRD2",1996,2002
"148","BRDO","BRD3",2001,2007
"149",NA,"BRDO",1972,1978
"150",NA,"BREA",1985,1991
"151",NA,"BRIS",1985,1991
"152","BRAN","BRN1",1985,1991
"153",NA,"BTCH",1985,1991
"154",NA,"BTHS",1985,1991
"155",NA,"BTHV",1985,1991
"156",NA,"BTLE",1985,1991
"157",NA,"BTLN",1985,1991
"158",NA,"BTM2",1985,1991
"159",NA,"BTMV",1985,1991
"160","BTTV","BTTC",1985,1991
"161",NA,"BTTV",1985,1991
"162",NA,"BTWO",1985,1991
"163",NA,"BUMI",1985,1991
"164",NA,"BUZL",1985,1991
"166","FB07","C073",1996,2002
"167","FB07","C075",2002,2008
"168","FB07","C076",2005,2011
"169","FB07","C077",2007,2013
"171","FB09","C096",2009,2015
"172","FB11","C114",2012,2018
"174","FB25","C254",1999,2005
"175","FB25","C255",2002,2008
"176","FB25","C258",2011,2017
"177","FB25","C259",2014,2020
"178","FB27","C272",1997,2003
"179","FB27","C273",1999,2005
"180","FB27","C275",2005,2011
"181","FB27","C276",2008,2014
"182","FB29","C295",1996,2002
"183","FB29","C296",1998,2004
"184","FB33","C330",2013,2019
"186","FB33","C335",2000,2006
"187","FB33","C336",2001,2007
"188","FB39","C391",1994,2000
"189","FB54","C546",2004,2010
"190","FB54","C548",2012,2018
"191","FB55","C554",2010,2016
"192","FB55","C555",2012,2018
"193","FB57","C574",1996,2002
"194","FB59","C595",1994,2000
"195","FB59","C596",1998,2004
"196","FB59","C597",2002,2008
"197","FB65","C652",1994,2000
"198","FB65","C655",2011,2017
"199","FB65","C656",2014,2020
"200","FB71","C717",1996,2002
"202","FB75","C755",1996,2002
"204","FB79","C793",1999,2005
"205","FB79","C794",2001,2007
"206","FB79","C795",2004,2010
"207","FB79","C797",2010,2016
"208","FB79","C798",2012,2018
"209","FB83","C834",1992,1998
"210","FB83","C835",1998,2004
"211","FB87","C871",1996,2002
"212","FB87","C872",2005,2011
"213","FB87","C873",2007,2013
"214","FB87","C874",2010,2016
"215","C991","C911",2007,2013
"216","C991","C912",2011,2017
"217","FB93","C931",1998,2004
"218","FB93","C932",2000,2006
"219","FB93","C933",2004,2010
"220","FB93","C935",2009,2015
"221","FB93","C936",2012,2018
"222","FB99","C991",1994,2000
"223",NA,"CAES",1985,1991
"224","CAMB","CAM1",1985,1991
"225",NA,"CATW",1985,1991
"226",NA,"CBTA",1985,1991
"229","F111","CCL6",1999,2005
"231","DRSN","CDS2",1999,2005
"232",NA,"CENT",1985,1991
"233",NA,"CHAD",1985,1991
"234",NA,"CHK2",1985,1991
"235",NA,"CHMA",1985,1991
"236","TRIF","CHOC",1985,1991
"237",NA,"CHSL",1985,1991
"238",NA,"CHTO",1988,1994
"239",NA,"CIER",1985,1991
"240","KNOB","CKB2",1985,1991
"241","LBHL","CL-4841",1985,1991
"242",NA,"CL-4987",1985,1991
"243",NA,"CL-5034",1985,1991
"244",NA,"CL-5063",1985,1991
"245",NA,"CL-5091",1985,1991
"246",NA,"CL-5178",1985,1991
"247",NA,"CL-5192",1985,1991
"248",NA,"CL-5224",1985,1991
"249",NA,"CL-5225",1985,1991
"250",NA,"CL-5464",1985,1991
"251",NA,"CL-5469",1985,1991
"252",NA,"CL-5471",1985,1991
"253",NA,"CL-5472",1985,1991
"254",NA,"CL-5473",1985,1991
"255",NA,"CL-5474",1985,1991
"256","CLAT","CLA2",1985,1991
"257",NA,"CLAT",1985,1991
"258",NA,"CLIF",1985,1991
"259","VLKA","CLJP",1985,1991
"260",NA,"CLUE",1985,1991
"261","MRSL","CMRS",1985,1991
"263",NA,"CONS",1985,1991
"264",NA,"COST",1985,1991
"265","PSDQ","CPS2",1985,1991
"266",NA,"CRAG",1985,1991
"267",NA,"CRKS",1985,1991
"268",NA,"CRUM",1985,1991
"269","SHTC","CSH3",2000,2006
"270",NA,"CSPD",1985,1991
"272","TSMV","CTS2",1996,2002
"273","TSMV","CTS3",1999,2005
"274","TSMV","CTS4",2008,2014
"275","TSMV","CTS5",2014,2020
"277","CATW","CTW1",1985,1991
"278","CATW","CTW2",1985,1991
"280","CWM3","CW32",2012,2018
"281","CWM3","CW3C",2006,2012
"282","WTMA","CWM3",1991,1997
"283","WTMA","CWM4",1995,2001
"285","DABL","DAB1",2010,2016
"286","DABL","DAB2",2013,2019
"287",NA,"DABL",1985,1991
"288","DADA","DAD2",1985,1991
"289",NA,"DADA",1985,1991
"291","DAFT","DAF1",2008,2014
"292","DAFT","DAF2",1985,1991
"293",NA,"DAFT",1985,1991
"294","PLUG","DAIN",1985,1991
"295",NA,"DBHN",1985,1991
"296",NA,"DEDO",1985,1991
"297",NA,"DIGT",1985,1991
"298","DILL","DIL1",1985,1991
"299",NA,"DILL",1985,1991
"300",NA,"DIPT",1973,1979
"301",NA,"DMDI",1985,1991
"302",NA,"DRAC",1985,1991
"303",NA,"DRAY",1985,1991
"304",NA,"DRBY",1985,1991
"305","DRMS","DRM1",1985,1991
"306",NA,"DRMS",1985,1991
"307",NA,"DRSN",1985,1991
"308",NA,"DTHB",1985,1991
"309",NA,"DUDE",1985,1991
"310","EASY","EAS1",2008,2014
"311",NA,"EASY",1985,1991
"312",NA,"EFHT",1985,1991
"313",NA,"ELFF",1985,1991
"314",NA,"ELIP",1985,1991
"315",NA,"EQDT",1985,1991
"317",NA,"ETMA",1985,1991
"319","FB83","F100",1989,1995
"320","F153","F101",1990,1996
"321","F105","F102",1980,1986
"323",NA,"F105",1962,1968
"324","F191","F106",1981,1987
"325",NA,"F107",1984,1990
"326",NA,"F108",1978,1984
"327","FB79","F109",1995,2001
"328",NA,"F110",1984,1990
"329",NA,"F111",1968,1974
"330",NA,"F112",1951,1957
"331","FB90","F113",1996,2002
"332",NA,"F114",1988,1994
"333",NA,"F115",1967,1973
"334",NA,"F116",1961,1967
"335","FB25","F117",1993,1999
"336","FB54","F118",1992,1998
"337","FB37","F119",1991,1997
"338",NA,"F120",1985,1991
"339","FB90","F122",1991,1997
"340","FB15","F123",1998,2004
"341","F119","F125",1998,2004
"342","F129","F126",1985,1991
"343","FB13","F127",1995,2001
"344","F153","F128",1992,1998
"345",NA,"F130",1982,1988
"346","FB59","F131",1988,1994
"347",NA,"F132",1983,1989
"348","FB90","F133",1999,2005
"349",NA,"F134",1982,1988
"350","FB54","F135",2000,2006
"351",NA,"F136",1981,1987
"352","F157","F137",2000,2006
"353","FB63","F138",1992,1998
"354","FB01","F139",2000,2006
"355",NA,"F141",1990,1996
"356",NA,"F142",1992,1998
"357","F111","F144",1995,2001
"358","FB11","F146",1996,2002
"359",NA,"F147",1985,1991
"360","FB54","F148",1996,2002
"361",NA,"F149",1981,1987
"363","F141","F151",2000,2006
"364","F163","F152",1996,2002
"365",NA,"F153",1953,1959
"366",NA,"F154",1963,1969
"367","FB05","F155",1990,1996
"369",NA,"F157",1985,1991
"370","F157","F158",1985,1991
"371","F131","F159",1996,2002
"372",NA,"F160",1979,1985
"373",NA,"F161",1985,1991
"374",NA,"F162",1981,1987
"375",NA,"F163",1971,1977
"376","F161","F164",1989,1995
"377","FB75","F165",1999,2005
"378","F115","F166",1994,2000
"379",NA,"F167",1989,1995
"380",NA,"F169",1999,2005
"381","F167","F171",1998,2004
"382",NA,"F172",1985,1991
"383","FB33","F173",2002,2008
"384",NA,"F174",1964,1970
"385","FB75","F175",1991,1997
"386",NA,"F176",1993,1999
"387","FB09","F177",2002,2008
"388","FB09","F178",1995,2001
"389","FB11","F179",2002,2008
"390",NA,"F180",1988,1994
"391",NA,"F181",1975,1981
"392","F183","F182",1987,1993
"393",NA,"F183",1972,1978
"394","F149","F184",1996,2002
"395",NA,"F185",1985,1991
"396","F157","F186",1996,2002
"397","F101","F187",2003,2009
"398","FB33","F188",1996,2002
"399",NA,"F189",1985,1991
"400","F181","F190",1996,2002
"401",NA,"F191",1985,1991
"402",NA,"F192",1967,1973
"403",NA,"F193",1984,1990
"404",NA,"F194",1974,1980
"405",NA,"F195",1969,1975
"406","F101","F196",1998,2004
"407","F155","F197",2003,2009
"408","FB25","F198",1996,2002
"409","WAND","F199",2002,2008
"410",NA,"F200",1985,1991
"411","F193","F201",2005,2011
"412",NA,"F202",1981,1987
"413","F149","F203",2000,2006
"414","F155","F205",2006,2012
"415","F175","F207",2005,2011
"416","FB55","F209",2004,2010
"417",NA,"F210",1985,1991
"418","F127","F211",2005,2011
"419","FB03","F212",1999,2005
"420","FB55","F213",2007,2013
"421","FB09","F214",1999,2005
"422","FB99","F215",2000,2006
"423","F163","F216",1998,2004
"424","F141","F217",2007,2013
"425","FB55","F218",1999,2005
"426","49LA","F219",1995,2001
"427","FB07","F220",1999,2005
"428","FB25","F221",2009,2015
"429","F131","F222",1999,2005
"430","F225","F223",2001,2007
"431","FB27","F224",2002,2008
"432",NA,"F225",1985,1991
"433","F175","F226",2002,2008
"434","FB09","F227",2005,2011
"435","FB65","F228",1999,2005
"436","FB54","F229",2008,2014
"437","F181","F230",2002,2008
"438",NA,"F231",1984,1990
"439","FB75","F232",2002,2008
"440","F159","F233",2010,2016
"441",NA,"F234",1999,2005
"442","F137","F235",2010,2016
"443",NA,"F236",1994,2000
"444",NA,"F237",1982,1988
"445","F119","F238",2002,2008
"446","F237","F239",2010,2016
"447","F157","F240",2004,2010
"448","FB65","F241",2007,2013
"449",NA,"F242",1990,1996
"450","F197","F243",2012,2018
"451","F113","F244",2004,2010
"452","F133","F245",2012,2018
"453","FB90","F246",2004,2010
"454","F175","F247",2012,2018
"455","SBDO","F248",1998,2004
"456","F185","F249",2011,2017
"457","FB11","F250",2005,2011
"458","FB93","F252",2006,2012
"459",NA,"F254",1989,1995
"460","F125","F256",2007,2013
"461",NA,"F258",1993,1999
"462","F231","F260",2008,2014
"463","FB25","F262",2006,2012
"464","F127","F264",2008,2014
"465","FB79","F266",2007,2013
"466",NA,"F268",1993,1999
"467","FB90","F270",2009,2015
"468","F155","F272",2009,2015
"469","F113","F274",2010,2016
"470","FB35","F276",1992,1998
"471","FB07","F278",2010,2016
"472","F187","F280",2010,2016
"473","FB33","F282",2008,2014
"474","FB27","F284",2011,2017
"475",NA,"F301",1985,1991
"477",NA,"FAST",1985,1991
"478","FB43","FB01",1991,1997
"479","FB59","FB02",1991,1997
"480","FB19","FB03",1989,1995
"481",NA,"FB05",1963,1969
"482","FB71","FB06",1984,1990
"483","FB84","FB07",1984,1990
"485","FB63","FB09",1984,1990
"486","FB63","FB10",1981,1987
"487","FB19","FB11",1984,1990
"488",NA,"FB12",1959,1965
"489",NA,"FB13",1959,1965
"490",NA,"FB14",1973,1979
"491",NA,"FB15",1950,1956
"492",NA,"FB17",1961,1967
"494","F111","FB20",1989,1995
"495","FB15","FB23",1989,1995
"496","FB35","FB24",1989,1995
"497",NA,"FB25",1978,1984
"498",NA,"FB26",1957,1963
