"","ID","Longitude","Latitude","HC"
"1","1091",-82.5733331216188,27.3212490215939,"SD"
"2","1092",-82.6831097845443,27.4442993722306,"Both"
"3","1231",-82.6563159284937,27.4575716080855,"FG"
"4","1253",-82.5686411496477,27.3175895075868,"SD"
"5","1315",-82.5761566773295,27.3271875164405,"FG"
"6","1316",-82.6175331922533,27.405458744285,"FG"
"7","1494",-82.6960090977759,27.5132854817833,"SD"
"8","1556",-82.6751012633197,27.4795595617862,"FG"
"9","1651",-82.7111927748506,27.5177603036914,"SD"
"10","1753",-82.5682377518134,27.3153005765479,"FG"
"11","4C4C",-82.7148316274087,27.4852086522391,"SD"
"12","AMVM",-82.4901874029721,27.1509399884737,"SD"
"13","B053",-82.6122307486504,27.4111270810902,"Both"
"14","B207",-82.6558024743492,27.4099071591905,"FG"
"15","B531",-82.6059917536477,27.4364139678052,"SD"
"16","BEGR",-82.4706737956301,27.1333711109722,"SD"
"17","C330",-82.6795761937775,27.4818167409574,"FG"
"18","C596",-82.7090198124589,27.5017089880376,"SD"
"19","C655",-82.6903253581483,27.474110792582,"SD"
"20","C656",-82.6894769758283,27.49725157785,"SD"
"21","C798",-82.5686785051053,27.3201800099629,"SD"
"22","C834",-82.6072790345281,27.3706542552254,"Both"
"23","C835",-82.5700850678074,27.3446674671124,"SD"
"24","C911",-82.6087648195898,27.5259310651303,"FG"
"25","C935",-82.5543701586437,27.2927441111678,"FG"
"26","C991",-82.6153418833375,27.5138329528503,"FG"
"27","DAB2",-82.603214388201,27.4318442607835,"SD"
"28","DABL",-82.5894602439838,27.3801827887251,"SD"
"29","DRSN",-82.6020508257809,27.3420187436812,"SD"
"30","F106",-82.7321593413667,27.5348009674871,"SD"
"31","F108",-82.5137115416697,27.2058243450275,"SD"
"32","F109",-82.6201127475857,27.3723471793601,"Both"
"33","F118",-82.6766659992824,27.4597120831832,"FG"
"34","F125",-82.5670036175162,27.3202023493245,"Both"
"35","F128",-82.6717224419097,27.4406016253633,"Both"
"36","F133",-82.6825339411327,27.4576361712935,"Both"
"37","F137",-82.6861301099255,27.4842734666406,"SD"
"38","F142",-82.6456002388605,27.4225626726022,"Both"
"39","F148",-82.6901395896748,27.4809681828505,"Both"
"40","F149",-82.6963878602191,27.5111262393364,"SD"
"41","F155",-82.6204214866464,27.4012543680901,"Both"
"42","F159",-82.6813818870928,27.4847812938386,"FG"
"43","F162",-82.5990044337755,27.53601759347,"SD"
"44","F164",-82.6670757295519,27.4689839991833,"SD"
"45","F165",-82.7091080269599,27.5107854098846,"SD"
"46","F171",-82.56980331929,27.3401777508015,"SD"
"47","F173",-82.6808915411882,27.4696659684754,"Both"
"48","F175",-82.600232622513,27.3560111709929,"Both"
"49","F178",-82.6775235212038,27.4643280861507,"FG"
"50","F179",-82.679313864372,27.4793319636179,"FG"
"51","F188",-82.6776964996285,27.4654750973438,"SD"
"52","F190",-82.6862014184202,27.520735560343,"SD"
"53","F193",-82.4975195575354,27.1925541494102,"SD"
"54","F194",-82.5125958306017,27.2065460069901,"SD"
"55","F196",-82.6834330679926,27.4655748859677,"FG"
"56","F197",-82.6792541391206,27.4606226232362,"FG"
"57","F198",-82.6559871600108,27.4390577793892,"SD"
"58","F199",-82.5677014021439,27.3205072100867,"Both"
"59","F203",-82.6973041817055,27.4773340090998,"FG"
"60","F205",-82.6068778947487,27.3819495733431,"FG"
"61","F207",-82.666968359374,27.438872523056,"Both"
"62","F209",-82.6675881944617,27.4782848994373,"SD"
"63","F211",-82.5531390089257,27.2925025142699,"FG"
"64","F218",-82.6955847707975,27.5163621322442,"SD"
"65","F219",-82.7090336770043,27.484398912318,"SD"
"66","F220",-82.7010935534878,27.5028817473591,"SD"
"67","F221",-82.528996550838,27.2434978671479,"SD"
"68","F222",-82.6871639640972,27.4766429467251,"SD"
"69","F224",-82.6905487477855,27.464900460756,"FG"
"70","F227",-82.6841867699532,27.4669372453065,"FG"
"71","F228",-82.695139608811,27.4825929981243,"SD"
"72","F232",-82.6889376884151,27.4518100063124,"Both"
"73","F233",-82.6789196111181,27.4843145765112,"FG"
"74","F235",-82.6798403415458,27.4788792899799,"SD"
"75","F238",-82.569965604222,27.3301313561545,"Both"
"76","F241",-82.6927260985857,27.478903142526,"SD"
"77","F242",-82.6677858163377,27.4692960074835,"SD"
"78","F243",-82.6912872950708,27.4738975275467,"FG"
"79","F246",-82.6808538732269,27.4477206076788,"FG"
"80","F247",-82.5777797501744,27.3278792195657,"FG"
"81","F248",-82.5777463477797,27.371861606422,"SD"
"82","F250",-82.6787094241827,27.4607973733641,"FG"
"83","F252",-82.5527341808852,27.2942495667978,"FG"
"84","F254",-82.5800505641483,27.3297102867546,"SD"
"85","F256",-82.5673935987896,27.3220955026387,"FG"
"86","F258",-82.6393328623174,27.4157394895229,"FG"
"87","F262",-82.5512403052729,27.2931586003091,"SD"
"88","F264",-82.5546129409072,27.2968367095067,"FG"
"89","F266",-82.6002196721482,27.3596845228987,"FG"
"90","F276",-82.6212505456168,27.3973276226143,"SD"
"91","F284",-82.6685733657639,27.4481547440976,"FG"
"92","FB02",-82.6276543275902,27.4062709109753,"FG"
