"","F118","F131","FB54","FB90","FB05","FB07","FB09","FB11","FB27","FB33","FB66","TCTV","FB87","FB10","FB55","FB48","F175","FB13","FB15","FB43","FB65","F154","FB28","FB92","F106","F128","F153","F138","FB63","F155","F276","FB35","FB93","FB44","M145","F162","FB02","FB20","PSDQ","HBMB","TSMV","F108","BEGR","FB36","CWM3","FB25","FB79","FB78","C834","F180","RTMW","F110","SOLB","F114","F182","F219","F237","F194","DRSN","F134","F164","F181","F178","BOXR","HAIR","F102","HIQQ","LDMA","F109","F127","MPTB","RY34","F149","LNPF","F188","F159","F198","F148","C991","F113","F190","F157","TDTL","F141","F146","F142","JOSC","IKN2","LNPC","LIZD","F196","F176","WHOO","F125","F248","F123","C596","C835","ZELD","F218","F165","F228","F133","F222","F220","F236","F258","F268","F167","F203","F137","F135","BOOT","F151","F215","PNBT","VSTH"
"F118",1,0.144736842105263,0.539473684210526,0.710526315789474,0.157894736842105,0.789473684210526,0.460526315789474,0.105263157894737,0.644736842105263,0.315789473684211,0.802631578947368,0.342105263157895,0,0.697368421052632,0.552631578947368,0,0.105263157894737,0.328947368421053,0.157894736842105,0.197368421052632,0.355263157894737,0.381578947368421,0.460526315789474,0.592105263157895,0.671052631578947,0.342105263157895,0.0789473684210526,0.394736842105263,0.618421052631579,0.657894736842105,0.0789473684210526,0.0131578947368421,0.157894736842105,0.276315789473684,0.671052631578947,0.144736842105263,0.539473684210526,0.684210526315789,0.0263157894736842,0.0263157894736842,0.0394736842105263,0.118421052631579,0.342105263157895,0.618421052631579,0.618421052631579,0.0657894736842105,0.0394736842105263,0.0526315789473684,0.105263157894737,0.276315789473684,0.0789473684210526,0.184210526315789,0.210526315789474,0.276315789473684,0.105263157894737,0.368421052631579,0.684210526315789,0.447368421052632,0.0789473684210526,0.276315789473684,0.197368421052632,0.631578947368421,0.631578947368421,0.513157894736842,0.657894736842105,0.421052631578947,0.434210526315789,0.289473684210526,0.0657894736842105,0.157894736842105,0.184210526315789,0.171052631578947,0.539473684210526,0.157894736842105,0.513157894736842,0.552631578947368,0.342105263157895,0.592105263157895,0.184210526315789,0.644736842105263,0.75,0.460526315789474,0.631578947368421,0.171052631578947,0.355263157894737,0.184210526315789,0.355263157894737,0.223684210526316,0.276315789473684,0.105263157894737,0.0657894736842105,0.355263157894737,0.0789473684210526,0.302631578947368,0.881578947368421,0.131578947368421,0.539473684210526,0.578947368421053,0.0789473684210526,0.578947368421053,0.157894736842105,0.473684210526316,0.75,0.421052631578947,0.657894736842105,0.565789473684211,0.697368421052632,0.184210526315789,0.171052631578947,0.815789473684211,0.105263157894737,0.657894736842105,0.0394736842105263,0.0263157894736842,0.171052631578947,0.763157894736842,0.736842105263158
"F131",0.333333333333333,1,0.363636363636364,0.484848484848485,0.666666666666667,0.484848484848485,0.818181818181818,0.757575757575758,0.727272727272727,0.878787878787879,0.242424242424242,0.666666666666667,0,0.606060606060606,0.636363636363636,0,0.818181818181818,0.454545454545455,0.848484848484849,0.727272727272727,0.939393939393939,0.848484848484849,0.909090909090909,0.727272727272727,0.121212121212121,0.727272727272727,0.666666666666667,0.575757575757576,0.393939393939394,0.212121212121212,0.606060606060606,0.242424242424242,0.787878787878788,0.636363636363636,0.393939393939394,0.0909090909090909,0.696969696969697,0.393939393939394,0.545454545454545,0.575757575757576,0.393939393939394,0.666666666666667,1,0.757575757575758,0.484848484848485,0.727272727272727,0.636363636363636,0.303030303030303,0.606060606060606,0.151515151515152,0.363636363636364,0.666666666666667,0.696969696969697,0.666666666666667,0.606060606060606,0.909090909090909,0.606060606060606,0.545454545454545,0.515151515151515,0.333333333333333,0.696969696969697,0.666666666666667,0.757575757575758,0.303030303030303,0.363636363636364,0.363636363636364,0.151515151515152,0.333333333333333,0.484848484848485,0.545454545454545,0.727272727272727,0.636363636363636,0.575757575757576,0.363636363636364,0.848484848484849,0.848484848484849,0.787878787878788,0.636363636363636,0.151515151515152,0.484848484848485,0.272727272727273,0,0.545454545454545,0.212121212121212,0.848484848484849,0.909090909090909,0.393939393939394,0.454545454545455,0.303030303030303,0.454545454545455,0.727272727272727,0.424242424242424,0.363636363636364,0.606060606060606,0.939393939393939,0.636363636363636,0.787878787878788,0.0606060606060606,0.272727272727273,0,0.606060606060606,0.818181818181818,0.333333333333333,0.848484848484849,0.727272727272727,0.757575757575758,0.575757575757576,0.848484848484849,0.696969696969697,0.545454545454545,0,0.484848484848485,0,0.151515151515152,0.333333333333333,0.424242424242424,0.424242424242424
"FB54",0.872340425531915,0.25531914893617,1,0.829787234042553,0.319148936170213,0.893617021276596,0.787234042553192,0.25531914893617,0.595744680851064,0.531914893617021,0.723404255319149,0.553191489361702,0,0.893617021276596,0.851063829787234,0,0.148936170212766,0.276595744680851,0.276595744680851,0.319148936170213,0.574468085106383,0.574468085106383,0.638297872340426,0.617021276595745,0.680851063829787,0.48936170212766,0.106382978723404,0.680851063829787,0.765957446808511,0.638297872340426,0.127659574468085,0.0212765957446809,0.297872340425532,0.446808510638298,0.829787234042553,0.148936170212766,0.361702127659574,0.51063829787234,0.127659574468085,0.148936170212766,0.148936170212766,0.212765957446809,0.51063829787234,0.680851063829787,0.829787234042553,0.106382978723404,0.0638297872340425,0.0638297872340425,0.148936170212766,0.25531914893617,0.191489361702128,0.297872340425532,0.340425531914894,0.404255319148936,0.148936170212766,0.404255319148936,0.702127659574468,0.680851063829787,0.106382978723404,0.446808510638298,0.361702127659574,0.659574468085106,0.74468085106383,0.574468085106383,0.765957446808511,0.659574468085106,0.617021276595745,0.319148936170213,0.106382978723404,0.212765957446809,0.361702127659574,0.25531914893617,0.680851063829787,0.234042553191489,0.680851063829787,0.702127659574468,0.446808510638298,0.872340425531915,0.191489361702128,0.829787234042553,0.787234042553192,0.234042553191489,0.765957446808511,0.127659574468085,0.595744680851064,0.297872340425532,0.404255319148936,0.212765957446809,0.361702127659574,0.170212765957447,0.106382978723404,0.361702127659574,0.106382978723404,0.234042553191489,1,0.25531914893617,0.574468085106383,0.382978723404255,0.148936170212766,0.276595744680851,0.319148936170213,0.74468085106383,0.808510638297872,0.553191489361702,0.872340425531915,0.425531914893617,0.531914893617021,0.297872340425532,0.276595744680851,0.765957446808511,0.0425531914893617,0.872340425531915,0,0.0851063829787234,0.319148936170213,0.574468085106383,0.553191489361702
"FB90",0.84375,0.25,0.609375,1,0.234375,0.9375,0.625,0.21875,0.71875,0.46875,0.765625,0.484375,0,0.78125,0.671875,0,0.171875,0.390625,0.265625,0.296875,0.515625,0.46875,0.59375,0.71875,0.625,0.5,0.140625,0.5625,0.75,0.59375,0.09375,0.046875,0.265625,0.375,0.8125,0.171875,0.59375,0.625,0.078125,0.125,0.109375,0.171875,0.484375,0.75,0.78125,0.125,0.09375,0.078125,0.125,0.296875,0.140625,0.21875,0.265625,0.390625,0.125,0.5,0.71875,0.625,0.109375,0.296875,0.28125,0.65625,0.796875,0.578125,0.75,0.421875,0.453125,0.375,0.078125,0.21875,0.28125,0.234375,0.515625,0.171875,0.6875,0.71875,0.46875,0.75,0.1875,0.890625,0.71875,0.328125,0.625,0.25,0.515625,0.265625,0.4375,0.328125,0.34375,0.09375,0.140625,0.328125,0.078125,0.375,1,0.203125,0.65625,0.5,0.140625,0.40625,0.203125,0.625,0.875,0.578125,0.859375,0.625,0.671875,0.328125,0.21875,0.8125,0.03125,0.796875,0.046875,0.078125,0.234375,0.71875,0.6875
"FB05",0.324324324324324,0.594594594594595,0.405405405405405,0.405405405405405,1,0.378378378378378,0.702702702702703,0.621621621621622,0.702702702702703,0.783783783783784,0.297297297297297,0.513513513513513,0,0.567567567567568,0.594594594594595,0,0.567567567567568,0.351351351351351,0.648648648648649,0.783783783783784,0.837837837837838,0.72972972972973,0.72972972972973,0.675675675675676,0.162162162162162,0.594594594594595,0.459459459459459,0.513513513513513,0.351351351351351,0.27027027027027,0.513513513513513,0.108108108108108,0.648648648648649,0.513513513513513,0.405405405405405,0.027027027027027,0.702702702702703,0.378378378378378,0.513513513513513,0.540540540540541,0.486486486486487,0.540540540540541,0.972972972972973,0.756756756756757,0.459459459459459,0.540540540540541,0.459459459459459,0.162162162162162,0.432432432432432,0.0540540540540541,0.405405405405405,0.513513513513513,0.486486486486487,0.432432432432432,0.432432432432432,0.837837837837838,0.648648648648649,0.513513513513513,0.378378378378378,0.459459459459459,0.675675675675676,0.486486486486487,0.621621621621622,0.27027027027027,0.243243243243243,0.432432432432432,0.189189189189189,0.189189189189189,0.459459459459459,0.351351351351351,0.72972972972973,0.297297297297297,0.675675675675676,0.405405405405405,0.756756756756757,0.783783783783784,0.810810810810811,0.486486486486487,0.189189189189189,0.378378378378378,0.243243243243243,0,0.567567567567568,0,0.756756756756757,0.594594594594595,0.27027027027027,0.297297297297297,0.162162162162162,0.432432432432432,0.540540540540541,0.405405405405405,0.324324324324324,0.540540540540541,0.810810810810811,0.837837837837838,0.756756756756757,0.0540540540540541,0.162162162162162,0,0.72972972972973,0.72972972972973,0.243243243243243,0.756756756756757,0.594594594594595,0.702702702702703,0.513513513513513,0.72972972972973,0.513513513513513,0.378378378378378,0,0.378378378378378,0.027027027027027,0.162162162162162,0.459459459459459,0.27027027027027,0.27027027027027
"FB07",0.740740740740741,0.197530864197531,0.518518518518518,0.740740740740741,0.172839506172839,1,0.530864197530864,0.172839506172839,0.654320987654321,0.395061728395062,0.703703703703704,0.407407407407407,0,0.703703703703704,0.530864197530864,0,0.148148148148148,0.345679012345679,0.222222222222222,0.271604938271605,0.444444444444444,0.407407407407407,0.530864197530864,0.617283950617284,0.580246913580247,0.432098765432099,0.135802469135802,0.469135802469136,0.604938271604938,0.555555555555556,0.0617283950617284,0.037037037037037,0.234567901234568,0.333333333333333,0.716049382716049,0.148148148148148,0.530864197530864,0.592592592592593,0.0987654320987654,0.123456790123457,0.0987654320987654,0.123456790123457,0.444444444444444,0.654320987654321,0.666666666666667,0.111111111111111,0.0864197530864197,0.0617283950617284,0.0864197530864197,0.283950617283951,0.111111111111111,0.172839506172839,0.209876543209877,0.308641975308642,0.0864197530864197,0.469135802469136,0.716049382716049,0.530864197530864,0.0864197530864197,0.296296296296296,0.222222222222222,0.604938271604938,0.666666666666667,0.481481481481481,0.617283950617284,0.382716049382716,0.395061728395062,0.345679012345679,0.0740740740740741,0.185185185185185,0.222222222222222,0.172839506172839,0.518518518518518,0.148148148148148,0.580246913580247,0.641975308641975,0.407407407407407,0.641975308641975,0.148148148148148,0.753086419753086,0.691358024691358,0.37037037037037,0.518518518518518,0.234567901234568,0.432098765432099,0.209876543209877,0.358024691358025,0.296296296296296,0.333333333333333,0.0740740740740741,0.123456790123457,0.333333333333333,0.037037037037037,0.345679012345679,0.91358024691358,0.172839506172839,0.592592592592593,0.54320987654321,0.148148148148148,0.481481481481481,0.185185185185185,0.518518518518518,0.765432098765432,0.506172839506173,0.777777777777778,0.567901234567901,0.617283950617284,0.271604938271605,0.172839506172839,0.777777777777778,0.0617283950617284,0.666666666666667,0.0493827160493827,0.0617283950617284,0.209876543209877,0.740740740740741,0.716049382716049
"FB09",0.564516129032258,0.435483870967742,0.596774193548387,0.645161290322581,0.419354838709677,0.693548387096774,1,0.403225806451613,0.693548387096774,0.774193548387097,0.516129032258065,0.548387096774194,0,0.758064516129032,0.774193548387097,0,0.403225806451613,0.338709677419355,0.467741935483871,0.548387096774194,0.806451612903226,0.693548387096774,0.774193548387097,0.67741935483871,0.370967741935484,0.564516129032258,0.354838709677419,0.629032258064516,0.580645161290323,0.419354838709677,0.32258064516129,0.0967741935483871,0.467741935483871,0.5,0.629032258064516,0.0967741935483871,0.516129032258065,0.419354838709677,0.354838709677419,0.370967741935484,0.241935483870968,0.419354838709677,0.758064516129032,0.854838709677419,0.661290322580645,0.338709677419355,0.306451612903226,0.193548387096774,0.306451612903226,0.241935483870968,0.241935483870968,0.419354838709677,0.467741935483871,0.5,0.32258064516129,0.67741935483871,0.725806451612903,0.629032258064516,0.274193548387097,0.354838709677419,0.516129032258065,0.693548387096774,0.854838709677419,0.435483870967742,0.548387096774194,0.483870967741935,0.354838709677419,0.306451612903226,0.274193548387097,0.338709677419355,0.516129032258065,0.370967741935484,0.629032258064516,0.258064516129032,0.887096774193548,0.82258064516129,0.629032258064516,0.693548387096774,0.145161290322581,0.661290322580645,0.5,0.0645161290322581,0.548387096774194,0.17741935483871,0.790322580645161,0.483870967741935,0.403225806451613,0.387096774193548,0.370967741935484,0.290322580645161,0.338709677419355,0.354838709677419,0.209677419354839,0.435483870967742,0.983870967741935,0.435483870967742,0.774193548387097,0.225806451612903,0.145161290322581,0.0806451612903226,0.483870967741935,0.854838709677419,0.580645161290323,0.758064516129032,0.838709677419355,0.548387096774194,0.548387096774194,0.532258064516129,0.370967741935484,0.693548387096774,0,0.645161290322581,0,0.0967741935483871,0.290322580645161,0.5,0.483870967741935
"FB11",0.25,0.78125,0.375,0.4375,0.71875,0.4375,0.78125,1,0.71875,0.78125,0.21875,0.625,0,0.59375,0.59375,0,0.71875,0.40625,0.875,0.71875,0.90625,0.6875,0.75,0.6875,0.09375,0.78125,0.5625,0.59375,0.34375,0.125,0.59375,0.1875,0.84375,0.65625,0.375,0.125,0.65625,0.34375,0.59375,0.65625,0.53125,0.625,1,0.78125,0.46875,0.71875,0.59375,0.21875,0.46875,0.125,0.4375,0.46875,0.5,0.5625,0.46875,0.96875,0.59375,0.5625,0.40625,0.46875,0.71875,0.5,0.65625,0.3125,0.25,0.25,0.0625,0.3125,0.46875,0.46875,0.65625,0.40625,0.59375,0.34375,0.78125,0.84375,0.84375,0.5,0.09375,0.40625,0.1875,0,0.46875,0.125,0.75,0.78125,0.3125,0.3125,0.28125,0.375,0.6875,0.375,0.3125,0.59375,0.90625,0.71875,0.8125,0.0625,0.3125,0,0.71875,0.8125,0.28125,0.78125,0.65625,0.75,0.5,0.90625,0.53125,0.375,0,0.40625,0.03125,0.1875,0.40625,0.28125,0.28125
"FB27",0.604938271604938,0.296296296296296,0.345679012345679,0.567901234567901,0.320987654320988,0.654320987654321,0.530864197530864,0.283950617283951,1,0.444444444444444,0.617283950617284,0.432098765432099,0,0.703703703703704,0.518518518518518,0,0.222222222222222,0.493827160493827,0.333333333333333,0.419753086419753,0.530864197530864,0.395061728395062,0.54320987654321,0.703703703703704,0.345679012345679,0.518518518518518,0.197530864197531,0.481481481481481,0.469135802469136,0.45679012345679,0.148148148148148,0.037037037037037,0.37037037037037,0.407407407407407,0.530864197530864,0.0987654320987654,0.728395061728395,0.654320987654321,0.185185185185185,0.185185185185185,0.160493827160494,0.209876543209877,0.679012345679012,0.876543209876543,0.493827160493827,0.185185185185185,0.160493827160494,0.0864197530864197,0.148148148148148,0.259259259259259,0.172839506172839,0.246913580246914,0.283950617283951,0.358024691358025,0.160493827160494,0.679012345679012,0.777777777777778,0.604938271604938,0.123456790123457,0.160493827160494,0.283950617283951,0.641975308641975,0.728395061728395,0.407407407407407,0.382716049382716,0.234567901234568,0.172839506172839,0.259259259259259,0.197530864197531,0.246913580246914,0.320987654320988,0.234567901234568,0.518518518518518,0.172839506172839,0.62962962962963,0.728395061728395,0.592592592592593,0.432098765432099,0.197530864197531,0.481481481481481,0.444444444444444,0.246913580246914,0.382716049382716,0.135802469135802,0.555555555555556,0.308641975308642,0.419753086419753,0.320987654320988,0.234567901234568,0.135802469135802,0.185185185185185,0.37037037037037,0.111111111111111,0.54320987654321,0.765432098765432,0.358024691358025,0.827160493827161,0.45679012345679,0.111111111111111,0.308641975308642,0.345679012345679,0.54320987654321,0.493827160493827,0.641975308641975,0.62962962962963,0.753086419753086,0.765432098765432,0.432098765432099,0.246913580246914,0.62962962962963,0.0246913580246914,0.45679012345679,0.0740740740740741,0.0617283950617284,0.185185185185185,0.703703703703704,0.703703703703704
"FB33",0.406779661016949,0.491525423728814,0.423728813559322,0.508474576271186,0.491525423728814,0.542372881355932,0.813559322033898,0.423728813559322,0.610169491525424,1,0.355932203389831,0.491525423728814,0,0.593220338983051,0.610169491525424,0,0.508474576271186,0.355932203389831,0.576271186440678,0.677966101694915,0.847457627118644,0.796610169491525,0.847457627118644,0.644067796610169,0.203389830508475,0.576271186440678,0.474576271186441,0.542372881355932,0.423728813559322,0.305084745762712,0.491525423728814,0.169491525423729,0.559322033898305,0.525423728813559,0.491525423728814,0.0847457627118644,0.593220338983051,0.389830508474576,0.474576271186441,0.491525423728814,0.305084745762712,0.508474576271186,0.898305084745763,0.796610169491525,0.542372881355932,0.474576271186441,0.423728813559322,0.254237288135593,0.406779661016949,0.23728813559322,0.271186440677966,0.491525423728814,0.525423728813559,0.542372881355932,0.440677966101695,0.745762711864407,0.677966101694915,0.525423728813559,0.406779661016949,0.322033898305085,0.593220338983051,0.627118644067797,0.745762711864407,0.372881355932203,0.406779661016949,0.389830508474576,0.23728813559322,0.271186440677966,0.440677966101695,0.389830508474576,0.593220338983051,0.389830508474576,0.610169491525424,0.271186440677966,0.915254237288136,0.796610169491525,0.661016949152542,0.542372881355932,0.101694915254237,0.508474576271186,0.338983050847458,0.0169491525423729,0.491525423728814,0.203389830508475,0.864406779661017,0.542372881355932,0.338983050847458,0.474576271186441,0.305084745762712,0.372881355932203,0.457627118644068,0.423728813559322,0.288135593220339,0.491525423728814,0.932203389830508,0.593220338983051,0.711864406779661,0.11864406779661,0.220338983050847,0.0169491525423729,0.525423728813559,0.745762711864407,0.423728813559322,0.847457627118644,0.694915254237288,0.610169491525424,0.491525423728814,0.627118644067797,0.440677966101695,0.542372881355932,0,0.491525423728814,0,0.11864406779661,0.288135593220339,0.457627118644068,0.457627118644068
