"","trial","id","time","t_end"
"1",1,"1091",29,44
"2",1,"1092",39,44
"3",1,"1093",45,44
"4",1,"1132",45,44
"5",1,"1134",45,44
"6",1,"1135",45,44
"7",1,"1231",45,44
"8",1,"1253",43,44
"9",1,"1313",45,44
"10",1,"1314",45,44
"11",1,"1315",45,44
"12",1,"1316",45,44
"13",1,"1317",45,44
"14",1,"1351",45,44
"15",1,"1373",45,44
"16",1,"1412",45,44
"17",1,"1414",45,44
"18",1,"1454",30,44
"19",1,"1455",45,44
"20",1,"1456",45,44
"21",1,"1494",43,44
"22",1,"1495",45,44
"23",1,"1496",43,44
"24",1,"1511",45,44
"25",1,"1535",45,44
"26",1,"1536",45,44
"27",1,"1551",45,44
"28",1,"1556",45,44
"29",1,"1575",45,44
"30",1,"1591",45,44
"31",1,"1593",45,44
"32",1,"1651",38,44
"33",1,"1672",45,44
"34",1,"1673",45,44
"35",1,"1674",45,44
"36",1,"1711",45,44
"37",1,"1753",35,44
"38",1,"1791",45,44
"39",1,"1813",45,44
"40",1,"1832",45,44
"41",1,"1833",45,44
"42",1,"1991",45,44
"43",1,"1992",45,44
"44",1,"2071",45,44
"45",1,"2091",45,44
"46",1,"2151",45,44
"47",1,"2152",45,44
"48",1,"2193",45,44
"49",1,"2194",45,44
"50",1,"2231",45,44
"51",1,"2252",45,44
"52",1,"2253",45,44
"53",1,"226C",45,44
"54",1,"2271",45,44
"55",1,"2YEL",45,44
"56",1,"49LA",45,44
"57",1,"4C42",45,44
"58",1,"4C4C",27,44
"59",1,"AMV1",45,44
"60",1,"AMVM",32,44
"61",1,"B053",43,44
"62",1,"B207",45,44
"63",1,"B226",45,44
"64",1,"B531",43,44
"65",1,"BASH",45,44
"66",1,"BEGR",0,44
"67",1,"BIK2",45,44
"68",1,"BIKO",45,44
"69",1,"BKH3",45,44
"70",1,"BKHO",45,44
"71",1,"BOO3",45,44
"72",1,"BOOC",45,44
"73",1,"BOOT",45,44
"74",1,"BOX1",45,44
"75",1,"BOXR",45,44
"76",1,"BRAC",45,44
"77",1,"BRAN",45,44
"78",1,"BRC4",45,44
"79",1,"BRD2",15,44
"80",1,"BRD3",42,44
"81",1,"BRDO",8,44
"82",1,"BRIS",45,44
"83",1,"BRN1",45,44
"84",1,"BTTV",45,44
"85",1,"BTWO",45,44
"86",1,"C073",45,44
"87",1,"C076",45,44
"88",1,"C114",43,44
"89",1,"C173",45,44
"90",1,"C254",45,44
"91",1,"C255",45,44
"92",1,"C258",45,44
"93",1,"C272",45,44
"94",1,"C273",45,44
"95",1,"C275",45,44
"96",1,"C276",45,44
"97",1,"C295",45,44
"98",1,"C330",45,44
"99",1,"C333",45,44
"100",1,"C336",45,44
"101",1,"C391",45,44
"102",1,"C546",45,44
"103",1,"C548",45,44
"104",1,"C554",45,44
"105",1,"C555",45,44
"106",1,"C574",45,44
"107",1,"C595",45,44
"108",1,"C596",29,44
"109",1,"C597",45,44
"110",1,"C652",8,44
"111",1,"C655",42,44
"112",1,"C656",44,44
"113",1,"C717",45,44
"114",1,"C754",45,44
"115",1,"C791",45,44
"116",1,"C793",45,44
"117",1,"C794",17,44
"118",1,"C795",25,44
"119",1,"C797",37,44
"120",1,"C798",44,44
"121",1,"C834",38,44
"122",1,"C835",36,44
"123",1,"C871",45,44
"124",1,"C872",45,44
"125",1,"C874",45,44
"126",1,"C911",45,44
"127",1,"C912",45,44
"128",1,"C931",45,44
"129",1,"C932",45,44
"130",1,"C933",45,44
"131",1,"C935",38,44
"132",1,"C936",45,44
"133",1,"C991",45,44
"134",1,"CCL4",45,44
"135",1,"CCL6",45,44
"136",1,"CMRS",45,44
"137",1,"CSH3",45,44
"138",1,"CTS4",45,44
"139",1,"CW3C",45,44
"140",1,"CWM3",45,44
"141",1,"DAB1",45,44
"142",1,"DAB2",43,44
"143",1,"DABL",43,44
"144",1,"DAFT",45,44
"145",1,"DAIN",45,44
"146",1,"DBHN",45,44
"147",1,"DIPT",45,44
"148",1,"DRAY",45,44
"149",1,"DRMS",45,44
"150",1,"DRSN",31,44
"151",1,"EAS1",45,44
"152",1,"EASY",45,44
"153",1,"ELFF",27,44
"154",1,"ETMA",45,44
"155",1,"F100",45,44
"156",1,"F101",45,44
"157",1,"F102",45,44
"158",1,"F106",28,44
"159",1,"F108",33,44
"160",1,"F109",15,44
"161",1,"F110",45,44
"162",1,"F111",45,44
"163",1,"F112",45,44
"164",1,"F113",45,44
"165",1,"F114",45,44
"166",1,"F115",45,44
"167",1,"F116",45,44
"168",1,"F117",45,44
"169",1,"F118",29,44
"170",1,"F119",45,44
"171",1,"F122",45,44
"172",1,"F123",45,44
"173",1,"F125",43,44
"174",1,"F126",45,44
"175",1,"F127",45,44
"176",1,"F128",18,44
"177",1,"F131",45,44
"178",1,"F133",34,44
"179",1,"F134",45,44
"180",1,"F135",45,44
"181",1,"F136",45,44
"182",1,"F137",41,44
"183",1,"F138",45,44
"184",1,"F139",45,44
"185",1,"F141",45,44
"186",1,"F142",34,44
"187",1,"F144",45,44
"188",1,"F146",42,44
"189",1,"F148",40,44
"190",1,"F149",43,44
"191",1,"F151",45,44
"192",1,"F152",45,44
"193",1,"F153",41,44
"194",1,"F154",45,44
"195",1,"F155",32,44
"196",1,"F157",45,44
"197",1,"F159",45,44
"198",1,"F160",45,44
"199",1,"F162",27,44
"200",1,"F163",45,44
"201",1,"F164",43,44
"202",1,"F165",38,44
"203",1,"F166",45,44
"204",1,"F167",45,44
"205",1,"F169",45,44
"206",1,"F171",28,44
"207",1,"F173",27,44
"208",1,"F174",45,44
"209",1,"F175",29,44
"210",1,"F176",42,44
"211",1,"F177",45,44
"212",1,"F178",45,44
"213",1,"F179",42,44
"214",1,"F180",45,44
"215",1,"F181",45,44
"216",1,"F182",45,44
"217",1,"F183",45,44
"218",1,"F184",45,44
"219",1,"F185",45,44
"220",1,"F186",45,44
"221",1,"F187",45,44
"222",1,"F188",31,44
"223",1,"F190",32,44
"224",1,"F191",45,44
"225",1,"F192",13,44
"226",1,"F193",39,44
"227",1,"F194",13,44
"228",1,"F195",45,44
"229",1,"F196",42,44
"230",1,"F197",45,44
"231",1,"F198",31,44
"232",1,"F199",34,44
"233",1,"F200",45,44
"234",1,"F201",45,44
"235",1,"F203",30,44
"236",1,"F205",45,44
"237",1,"F207",29,44
"238",1,"F209",32,44
"239",1,"F210",45,44
"240",1,"F211",45,44
"241",1,"F212",45,44
"242",1,"F213",45,44
"243",1,"F214",45,44
"244",1,"F215",45,44
"245",1,"F216",45,44
"246",1,"F217",45,44
