"","month_date","n_new","event_period"
"1",1995-03-01,2,1
"2",1996-08-01,1,2
"3",1996-10-01,3,3
"4",1997-04-01,1,4
"5",1999-06-01,2,5
"6",2000-05-01,2,6
"7",2000-06-01,1,7
"8",2000-08-01,1,8
"9",2001-06-01,2,9
"10",2001-11-01,1,10
"11",2005-01-01,2,11
"12",2005-03-01,1,12
"13",2005-05-01,1,13
"14",2005-11-01,1,14
"15",2006-03-01,2,15
"16",2006-04-01,4,16
"17",2006-05-01,4,17
"18",2006-06-01,3,18
"19",2006-07-01,4,19
"20",2007-03-01,7,20
"21",2007-04-01,1,21
"22",2007-05-01,1,22
"23",2007-08-01,2,23
"24",2007-10-01,1,24
"25",2007-11-01,1,25
"26",2007-12-01,1,26
"27",2008-02-01,4,27
"28",2008-03-01,1,28
"29",2008-05-01,1,29
"30",2008-06-01,3,30
"31",2008-07-01,1,31
"32",2008-08-01,4,32
"33",2008-09-01,2,33
"34",2008-11-01,3,34
"35",2009-02-01,2,35
"36",2009-03-01,2,36
"37",2009-06-01,1,37
"38",2009-11-01,4,38
"39",2010-04-01,1,39
"40",2010-09-01,1,40
"41",2010-11-01,3,41
"42",2011-04-01,1,42
"43",2011-07-01,2,43
"44",2011-09-01,3,44
"45",2011-11-01,1,45
"46",2012-03-01,5,46
"47",2012-05-01,1,47
"48",2012-11-01,2,48
"49",2012-12-01,2,49
"50",2013-01-01,1,50
"51",2013-02-01,2,51
"52",2013-03-01,4,52
"53",2013-04-01,1,53
"54",2013-05-01,1,54
"55",2013-07-01,1,55
"56",2013-08-01,1,56
"57",2013-09-01,3,57
"58",2013-10-01,2,58
"59",2014-02-01,8,59
"60",2014-03-01,2,60
"61",2014-04-01,3,61
"62",2014-05-01,4,62
"63",2014-10-01,1,63
"64",2014-11-01,2,64
