"","Code","Freq_bg","Freq_fg","Freq_sd"
"1315","1315",0,0,0
"1452","1452",0,0,0
"1454","1454",0,0,0.0769230769230769
"1494","1494",0,0,0.285714285714286
"1833","1833",0,0,0
"2252","2252",0,0,0
"2XUU","2XUU",0,0,0
"49LA","49LA",0,0,0
"4C4C","4C4C",0,0,0
"AAXE","AAXE",0,0,0
"ABGL","ABGL",0,0,0
"ALHK","ALHK",0,0,0
"ALOT","ALOT",0,0,0
"AMTS","AMTS",0,0,0
"AMVM","AMVM",0,0,0.0166666666666667
"ARRR","ARRR",0,0,0
"ATMM","ATMM",0,0,0
"ATNA","ATNA",0,0,0
"B053","B053",0,0.0149253731343284,0.0149253731343284
"B207","B207",0,0.0714285714285714,0
"B226","B226",0,0,0
"BASH","BASH",0,0,0
"BBL3","BBL3",0,0,0
"BBLN","BBLN",0,0,0
"BEGR","BEGR",5.84523809523809,0,0.0476190476190476
"BEWT","BEWT",0,0,0
"BGET","BGET",0,0,0
"BIK1","BIK1",0,0,0
"BIKO","BIKO",0,0,0
"BKH2","BKH2",0,0,0
"BKH3","BKH3",0,0,0
"BKHO","BKHO",0,0,0
"BLNK","BLNK",0,0,0
"BMRD","BMRD",0,0,0
"BNDS","BNDS",0,0,0
"BOOC","BOOC",0,0,0
"BOOT","BOOT",0,0,0
"BOXR","BOXR",0,0,0
"BRAC","BRAC",0,0,0
"BRAN","BRAN",0,0,0
"BRC4","BRC4",0,0,0
"BRD3","BRD3",0,0,0.125
"BRDO","BRDO",0.2,0,0
"BRIS","BRIS",0,0,0
"BRN1","BRN1",0,0,0
"BTCH","BTCH",0,0,0
"BTHS","BTHS",0,0,0
"BTLN","BTLN",0,0,0
"BTTV","BTTV",0,0,0
"BTWO","BTWO",0,0,0
"C596","C596",0,0,0.0298507462686567
"C834","C834",0,0.00581395348837209,0.0406976744186047
"C835","C835",0,0,0.0112359550561798
"C911","C911",0,0,0
"C991","C991",0,0.0163934426229508,0
"CAES","CAES",0,0,0
"CAM1","CAM1",0,0,0
"CATW","CATW",0,0,0
"CENT","CENT",0,0,0
"CIER","CIER",0,0,0
"CLA2","CLA2",0,0,0
"CLAT","CLAT",0,0,0
"CLIF","CLIF",0,0,0
"CLJP","CLJP",0,0,0
"CMRS","CMRS",0,0,0
"CONS","CONS",0,0,0
"CPS2","CPS2",0,0,0
"CRAG","CRAG",0,0,0
"CRUM","CRUM",0,0,0
"CWM3","CWM3",0,0,0
"DABL","DABL",0,0,0.0117647058823529
"DAD2","DAD2",0,0,0
"DADA","DADA",0,0,0
"DAF2","DAF2",0,0,0
"DAFT","DAFT",0,0,0
"DAIN","DAIN",0,0,0
"DBHN","DBHN",0,0,0
"DIGT","DIGT",0,0,0
"DIPT","DIPT",0,0,0
"DRAY","DRAY",0,0,0
"DRMS","DRMS",0,0,0
"DRSN","DRSN",0,0,0.0441176470588235
"DUDE","DUDE",0,0,0
"EASY","EASY",0,0,0
"ELFF","ELFF",0,0,0.166666666666667
"ELIP","ELIP",0,0,0
"ETMA","ETMA",0,0,0
"F100","F100",0,0,0
"F101","F101",0,0,0
"F102","F102",0,0,0
"F105","F105",0,0,0
"F106","F106",0.0582010582010582,0,0.253968253968254
"F108","F108",0,0,0.0480769230769231
"F109","F109",0.0122950819672131,0,0.0901639344262295
"F110","F110",0,0,0
"F111","F111",0,0,0
"F112","F112",0,0,0
"F113","F113",0,0,0
"F114","F114",0,0,0
"F115","F115",0,0,0
"F116","F116",0,0,0
"F117","F117",0,0,0
"F118","F118",0,0.00966183574879227,0.00483091787439614
"F119","F119",0,0,0
"F120","F120",0,0,0
"F123","F123",0,0,0
"F125","F125",0,0,0.00526315789473684
"F126","F126",0,0,0
"F127","F127",0,0,0
"F128","F128",0,0.0078125,0.00390625
"F130","F130",0,0,0
"F131","F131",0,0,0
"F132","F132",0,0,0
"F133","F133",0.0053475935828877,0.0053475935828877,0.0106951871657754
"F134","F134",0,0,0
"F135","F135",0,0,0
"F136","F136",0,0,0
"F137","F137",0,0,0.010752688172043
"F138","F138",0,0.00381679389312977,0
"F141","F141",0,0,0
"F142","F142",0,0.0105820105820106,0.0264550264550265
"F146","F146",0,0,0.00546448087431694
"F147","F147",0,0,0
"F148","F148",0,0.00460829493087558,0.0138248847926267
"F149","F149",0,0,0.0222222222222222
"F151","F151",0,0,0
"F153","F153",0,0,0.008
"F154","F154",0,0,0
"F155","F155",0,0.01171875,0.0078125
"F157","F157",0,0,0
"F158","F158",0,0,0
"F159","F159",0,0.00467289719626168,0
"F160","F160",0,0,0
"F162","F162",0,0,0.0204081632653061
"F163","F163",0,0,0
"F164","F164",0,0,0.00657894736842105
"F165","F165",0,0,0.0645161290322581
"F167","F167",0,0,0
"F171","F171",0,0,0.012987012987013
"F172","F172",0,0,0
"F173","F173",0,0.0285714285714286,0
"F174","F174",0,0,0
"F175","F175",0,0.00816326530612245,0.00816326530612245
"F176","F176",0,0,0.00970873786407767
"F178","F178",0,0,0
"F179","F179",0,0.0103092783505155,0.0103092783505155
"F180","F180",0,0,0
"F181","F181",0,0,0
"F182","F182",0,0,0
"F183","F183",0,0,0
"F185","F185",0,0,0
"F187","F187",0,0,0
"F188","F188",0,0,0.0114942528735632
"F190","F190",0,0,0.0483870967741935
"F191","F191",0,0,0
"F192","F192",0.0188679245283019,0,0
"F193","F193",0,0,0.04
"F194","F194",0.0181818181818182,0,0.0181818181818182
"F195","F195",0,0,0
"F196","F196",0,0,0.0050761421319797
"F197","F197",0,0.0198019801980198,0
"F198","F198",0.00628930817610063,0,0.0188679245283019
"F199","F199",0,0.0135135135135135,0.0405405405405405
"F200","F200",0,0,0
"F202","F202",0,0,0
"F203","F203",0,0.0140845070422535,0.028169014084507
"F205","F205",0,0.25,0
"F207","F207",0,0,0
"F209","F209",0,0,0
"F210","F210",0,0,0
"F211","F211",0,0,0
"F213","F213",0,0,0
"F215","F215",0,0,0
"F217","F217",0,0,0
"F218","F218",0,0,0.0357142857142857
"F219","F219",0,0,0.0357142857142857
"F220","F220",0,0,0.0222222222222222
"F222","F222",0.0135135135135135,0,0.0472972972972973
"F223","F223",0,0,0
"F224","F224",0,0,0
"F225","F225",0,0,0
