"","Code","Freq_bg","Freq_fg","Freq_sd"
"1091","1091",0.032967032967033,0,0.186813186813187
"1092","1092",0,0.0128205128205128,0.0384615384615385
"1093","1093",0,0,0
"1132","1132",0,0,0
"1134","1134",0,0,0
"1135","1135",0,0,0
"1231","1231",0,0.0217391304347826,0
"1253","1253",0,0,0.0136986301369863
"1312","1312",0,0,0
"1313","1313",0,0,0
"1314","1314",0,0,0
"1315","1315",0,0.00934579439252336,0
"1316","1316",0,0.0103092783505155,0
"1317","1317",0,0,0
"1351","1351",0,0,0
"1373","1373",0,0,0
"1412","1412",0,0,0
"1414","1414",0,0,0
"1455","1455",0,0,0
"1456","1456",0,0,0
"1457","1457",0,0,0
"1494","1494",0,0,0
"1495","1495",0,0,0
"1496","1496",0,0,0.5
"1511","1511",0,0,0
"1535","1535",0,0.0666666666666667,0
"1536","1536",0,0,0
"1551","1551",0,0,0
"1556","1556",0,0.0526315789473684,0
"1575","1575",0,0,0
"1591","1591",0,0,0
"1593","1593",0,0,0
"1651","1651",0,0,0.25
"1672","1672",0,0,0
"1673","1673",0,0,0
"1674","1674",0,0,0
"1711","1711",0,0,0
"1753","1753",0,0.0126582278481013,0.0379746835443038
"1791","1791",0,0,0
"1813","1813",0,0,0
"1832","1832",0,0.2,0
"1833","1833",0,0,0
"1991","1991",0,0,0
"1992","1992",0,0,0
"2071","2071",0,0,0
"2091","2091",0,0,0
"2151","2151",0,0,0
"2152","2152",0,0,0
"2193","2193",0,0,0
"2194","2194",0,0,0
"2231","2231",0,0,0
"2253","2253",0,0,0
"226C","226C",0,0,0
"2271","2271",0,0,0
"2SCT","2SCT",0,0,0
"2YEL","2YEL",0,0,0
"4C42","4C42",0,0,0
"4C4C","4C4C",0,0,0.0434782608695652
"ALH3","ALH3",0,0,0
"AMV1","AMV1",0,0,0
"ARRC","ARRC",0,0,0
"B531","B531",0,0,0.0769230769230769
"BIK2","BIK2",0,0,0
"BOO3","BOO3",0,0,0
"BOX1","BOX1",0,0,0
"BRD2","BRD2",0.222222222222222,0,0
"BRD3","BRD3",0,0,0
"C073","C073",0,0,0
"C076","C076",0,0,0
"C114","C114",0,0,0.05
"C254","C254",0,0,0
"C255","C255",0,0,0
"C258","C258",0,0,0
"C272","C272",0,0,0
"C273","C273",0,0,0
"C275","C275",0,0,0
"C276","C276",0,0,0
"C295","C295",NA,NA,NA
"C330","C330",0,0.0384615384615385,0
"C336","C336",0,0,0
"C391","C391",0,0,0
"C546","C546",0,0,0
"C548","C548",0,0,0
"C554","C554",0,0,0
"C555","C555",0,0,0
"C574","C574",0,0,0
"C595","C595",0,0,0
"C596","C596",0,0,0
"C597","C597",0,0,0
"C652","C652",0,0,0.0232558139534884
"C655","C655",0,0,0.0512820512820513
"C656","C656",0,0,0.166666666666667
"C717","C717",0,0,0
"C793","C793",0,0,0
"C794","C794",0,0,0.333333333333333
"C795","C795",0,0,0.1
"C797","C797",0,0,0.03125
"C798","C798",0,0,0.024390243902439
"C834","C834",0,0,0
"C835","C835",0,0,0
"C871","C871",0,0,0
"C872","C872",0,0,0
"C874","C874",0,0,0
"C911","C911",0,0.03125,0
"C912","C912",0,0,0
"C931","C931",NA,NA,NA
"C932","C932",0,0,0
"C933","C933",0,0,0
"C935","C935",0,0.0196078431372549,0.0196078431372549
"C936","C936",0,0,0
"C991","C991",0,0,0
"CCL6","CCL6",0,0,0
"CSH3","CSH3",0,0,0
"CTS4","CTS4",0,0,0
"CW32","CW32",0,0,0
"CW3C","CW3C",0,0,0
"CWM3","CWM3",0,0,0
"DAB1","DAB1",0,0,0
"DAB2","DAB2",0,0,0.0833333333333333
"DAF1","DAF1",0,0,0
"EAS1","EAS1",0,0,0
"F101","F101",0,0,0
"F109","F109",0,0.0117647058823529,0.0117647058823529
"F113","F113",0,0,0
"F117","F117",0,0,0
"F118","F118",0,0.0147058823529412,0
"F119","F119",0,0,0
"F122","F122",0,0,0
"F123","F123",0,0,0
"F125","F125",0,0.0113636363636364,0
"F127","F127",0,0,0
"F128","F128",0,0,0
"F133","F133",0,0,0
"F135","F135",0,0.0104166666666667,0
"F137","F137",0,0,0
"F138","F138",0,0,0
"F139","F139",0,0,0
"F142","F142",0,0,0
"F144","F144",0,0,0
"F146","F146",0,0,0
"F148","F148",0,0,0
"F151","F151",0,0,0
"F152","F152",0,0,0
"F155","F155",0,0,0
"F159","F159",0,0,0
"F165","F165",0,0,0
"F166","F166",0,0,0
"F169","F169",0,0,0
"F171","F171",0,0,0
"F173","F173",0,0,0.010752688172043
"F175","F175",0,0,0
"F176","F176",0,0,0
"F177","F177",0,0,0
"F178","F178",0,0.0449438202247191,0
"F179","F179",0,0,0
"F184","F184",0,0,0
"F186","F186",0,0,0
"F187","F187",0,0,0
"F188","F188",0,0,0
"F190","F190",0,0,0
"F196","F196",0,0.0104166666666667,0
"F197","F197",0,0,0
"F198","F198",0,0,0
"F199","F199",0,0,0
"F201","F201",0,0,0
"F203","F203",0,0,0
"F205","F205",0,0.010989010989011,0
"F207","F207",0,0.024390243902439,0.0487804878048781
"F209","F209",0,0,0.0384615384615385
"F211","F211",0,0,0
"F212","F212",0,0,0
"F213","F213",0,0,0
"F214","F214",0,0,0
"F215","F215",0,0,0
"F216","F216",0,0,0
"F217","F217",0,0,0
"F218","F218",0,0,0
"F219","F219",0,0,0
"F220","F220",0,0,0
"F221","F221",0,0,0.0238095238095238
"F222","F222",0,0,0
"F224","F224",0,0.0105263157894737,0
"F226","F226",0,0,0
"F227","F227",0,0,0
"F228","F228",0,0,0
"F229","F229",0,0,0
"F230","F230",0,0,0
"F232","F232",0.0194174757281553,0.0194174757281553,0.029126213592233
"F233","F233",0,0.0147058823529412,0
"F235","F235",0,0,0.0294117647058824
"F238","F238",0,0.0135135135135135,0
"F239","F239",0,0,0
"F240","F240",0,0,0.0136986301369863
"F241","F241",0,0,0
"F243","F243",0,0.0175438596491228,0
"F244","F244",0,0,0
"F245","F245",0.032258064516129,0,0
"F246","F246",0,0,0
"F247","F247",0,0.025,0
"F248","F248",0,0,0
"F249","F249",0,0,0
"F250","F250",0,0.0111111111111111,0
"F252","F252",0,0,0.0491803278688525
"F256","F256",0,0.01,0
"F260","F260",0,0,0
"F262","F262",0,0,0.0512820512820513
"F264","F264",0,0.0133333333333333,0
"F266","F266",0.00819672131147541,0.0327868852459016,0.0737704918032787
"F270","F270",0.0208333333333333,0,0
"F272","F272",0,0,0.0147058823529412
"F274","F274",0,0.0196078431372549,0
"F276","F276",0,0,0
"F278","F278",0,0,0
"F280","F280",0,0,0
"F282","F282",0,0,0
"F284","F284",0,0.0238095238095238,0
"FB01","FB01",0,0,0
"FB02","FB02",0,0,0
"FZJ1","FZJ1",0,0,0
"GRW2","GRW2",0,0,0
"HAWC","HAWC",0,0,0
"HBM3","HBM3",0,0,0
"HLP4","HLP4",0,0,0
"HLPC","HLPC",0,0,0
"HOVC","HOVC",0,0,0
"HSN3","HSN3",0,0,0
"HSN4","HSN4",0,0,0
"HWK2","HWK2",0,0,0
"HWK3","HWK3",0,0,0
"IKN2","IKN2",0,0,0
"JOSC","JOSC",0,0,0
"LIZ1","LIZ1",0,0,0
"LNC2","LNC2",0,0,0
"LNCC","LNCC",0,0,0
"LNL1","LNL1",0,0,0
"LOT2","LOT2",0,0,0
"LWP1","LWP1",0,0,0
"LWP2","LWP2",0,0,0
"MCM3","MCM3",NA,NA,NA
"MNIC","MNIC",0,0,0
"NANA","NANA",0,0,0
"NPK1","NPK1",0,0,0
"PHL1","PHL1",0,0,0
"PIL1","PIL1",NA,NA,NA
"PNBC","PNBC",0,0,0
"PSC5","PSC5",0,0,0
"PSC6","PSC6",0,0,0
"PSC7","PSC7",0,0,0
"QECD","QECD",0,0,0
"RTM2","RTM2",0,0,0
"RTM3","RTM3",0,0,0
"RTM4","RTM4",0,0,0.0833333333333333
"RTM5","RTM5",0,0,0
"SCS1","SCS1",0,0,0
"SCS2","SCS2",0,0,0.03125
"SHBT","SHBT",0,0,0
"SIM1","SIM1",0,0,0
"STE1","STE1",0,0,0
"TCT1","TCT1",0,0,0
"TDTC","TDTC",0,0,0
"ULY2","ULY2",0,0,0
"ULY3","ULY3",0,0,0
"VSTC","VSTC",0,0,0
"WEN1","WEN1",0,0,0
"WWJD","WWJD",0,0,0
"ZEL1","ZEL1",0,0,0
"ZRBC","ZRBC",0,0,0
