"","Code","Freq_fg","Freq_sd"
"C991","C991",0,0
"CWM3","CWM3",0,0
"F101","F101",0,0
"F109","F109",0.0117647058823529,0.0117647058823529
"F113","F113",0,0
"F119","F119",0,0
"F123","F123",0,0
"F125","F125",0.0113636363636364,0
"F127","F127",0,0
"F133","F133",0,0
"F135","F135",0.0104166666666667,0
"F137","F137",0,0
"F151","F151",0,0
"F155","F155",0,0
"F159","F159",0,0
"F165","F165",0,0
"F171","F171",0,0
"F175","F175",0,0
"F179","F179",0,0
"F187","F187",0,0
"F197","F197",0,0
"F199","F199",0,0
"F207","F207",0.024390243902439,0.0487804878048781
"F209","F209",0,0.0384615384615385
"F215","F215",0,0
"F219","F219",0,0
"F227","F227",0,0
"FB01","FB01",0,0
"NPK1","NPK1",0,0
