SightingFID,Date,SurveyNum,Sighting,SurveyType,Effort,StartTime,EndTime,StartLat,StartLon,HumanInteraction,SightingGroup,SightingNotes,#Boats,#Lines,#CrabPots,Categories Defined?
41405,11-Jun-12,7335,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:30,10:09,27.39198,-82.57522,0,"TCTV,F237,IKN2,F248,C835,F238,F234,F211,TCT1,F239","SG1: TCTV and TCT1 (prob feed/travel); SG2: C835, F238, F248, F211 (feed/mill); SG3: HAWK, HWK4, IKN2, F234 (prob feed/feed/travel).  Associated organisms: royal tern.",-999,-999,-999,0
41406,11-Jun-12,7335,22,Photo-id (Pop Mon),Photo-id (Pop Mon),11:00,11:11,27.46654,-82.69131,0,"F209,F227","Dolphins initially seen together, 3rd dolphin leapt toward the west several times in the shallows.  F227 and F209 followed and then left towards the north. Lost 3rd dolphin.",-999,-999,-999,0
41407,11-Jun-12,7335,23,Photo-id (Pop Mon),Photo-id (Pop Mon),11:22,11:33,27.47946,-82.69598,0,"F197,F213,F243",SG1: F213; SG2: F197 and 1971,-999,-999,-999,0
41408,11-Jun-12,7335,24,Photo-id (Pop Mon),Photo-id (Pop Mon),11:52,12:00,27.5039,-82.6909,0,"FB07,F278",Dolphins avoiding boat.,-999,-999,-999,0
41409,11-Jun-12,7335,25,Photo-id (Pop Mon),Photo-id (Pop Mon),12:20,12:30,27.53317,-82.70206,0,"FB20,F159,F258,F233",No Comments,-999,-999,-999,0
41410,11-Jun-12,7335,26,Photo-id (Pop Mon),Photo-id (Pop Mon),12:39,12:46,27.53343,-82.71925,0,,No Comments,-999,-999,-999,0
41411,11-Jun-12,7335,27,Photo-id (Pop Mon),Photo-id (Pop Mon),13:36,13:39,27.45871,-82.68687,0,"F197,F243",No Comments,-999,-999,-999,0
41412,11-Jun-12,7335,28,Photo-id (Pop Mon),Photo-id (Pop Mon),13:50,14:04,27.44547,-82.67154,0,"F182,C834,F173,F250","SG1: C834 (traveling); SG2: F250, F173, F182 (social with each other and boat while traveling)",-999,-999,-999,0
41413,12-Jun-12,7336,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:50,9:58,27.32726,-82.5991,0,"SETE,SEE1",Associated organisms: frigate bird.,-999,-999,-999,0
41414,12-Jun-12,7336,22,Photo-id (Pop Mon),Photo-id (Pop Mon),10:57,11:10,27.49368,-82.71558,0,"OIEA,NIP2,TNBP",Associated organisms: frigate bird,-999,-999,-999,0
41415,12-Jun-12,7336,23,Photo-id (Pop Mon),Photo-id (Pop Mon),11:51,11:56,27.55871,-82.71666,0,"JIG3,TFTY",No Comments,-999,-999,-999,0
41416,12-Jun-12,7336,24,Photo-id (Pop Mon),Photo-id (Pop Mon),12:08,12:19,27.55969,-82.69462,0,TOOY,No Comments,-999,-999,-999,0
41417,12-Jun-12,7336,25,Photo-id (Pop Mon),Photo-id (Pop Mon),12:36,12:40,27.5472,-82.62933,0,F217,No Comments,-999,-999,-999,0
41418,12-Jun-12,7336,26,Photo-id (Pop Mon),Photo-id (Pop Mon),12:47,12:58,27.54583,-82.62014,0,"F158,LOTB,F141,F151,LOT2,F217,CAMB,1414,1511,CL-5374",No Comments,-999,-999,-999,0
41419,12-Jun-12,7336,27,Photo-id (Pop Mon),Photo-id (Pop Mon),14:11,14:21,27.53513,-82.66937,0,"RTMW,RTM3,RTM4",No Comments,-999,-999,-999,0
41420,12-Jun-12,7336,28,Photo-id (Pop Mon),Photo-id (Pop Mon),14:38,15:01,27.52441,-82.69939,0,"FB90,FB07,FB93,F228,F220,F270,F278,C936",No Comments,-999,-999,-999,0
41421,12-Jun-12,7336,29,Photo-id (Pop Mon),Photo-id (Pop Mon),15:08,15:19,27.51802,-82.69817,0,"F159,F222,F233",F159's tag has bent antenna,-999,-999,-999,0
41422,12-Jun-12,7336,30,Photo-id (Pop Mon),Photo-id (Pop Mon),15:31,15:47,27.48749,-82.69789,0,"F113,F274",No Comments,-999,-999,-999,0
41423,12-Jun-12,7336,31,Photo-id (Pop Mon),Photo-id (Pop Mon),15:54,15:58,27.46863,-82.69228,0,"F209,F250",No Comments,-999,-999,-999,0
41429,13-Jun-12,7338,21,Photo-id (Pop Mon),Photo-id (Pop Mon),10:36,10:44,27.48099,-82.68355,0,"FB33,FB92,F128,F282",Animals initially sharking and fishwhacking mullet in shallows. Video of sharking but not fishwhacking.,-999,-999,-999,0
41430,13-Jun-12,7338,22,Photo-id (Pop Mon),Photo-id (Pop Mon),11:39,12:05,27.50121,-82.65292,0,"FB54,FB55,F138,F148,F215,2151,C548","SG1: FB54, C548, FB55; SG2: F148, F138, F215, 2151",-999,-999,-999,0
41431,13-Jun-12,7338,23,Photo-id (Pop Mon),Photo-id (Pop Mon),12:19,12:29,27.48891,-82.65601,0,"F113,F274","Started chuffing at 12:22, avoiding boat.",-999,-999,-999,0
41432,13-Jun-12,7338,24,Photo-id (Pop Mon),Photo-id (Pop Mon),12:48,12:53,27.46846,-82.69316,0,"FB11,F155",No Comments,-999,-999,-999,0
41433,13-Jun-12,7338,25,Photo-id (Pop Mon),Photo-id (Pop Mon),13:10,13:28,27.44683,-82.68735,X,"F276,F109,F142,1092",Two kayakers hung out by dolphins for several minutes. Captain Kim on edge of sighting until we left and she approached closer.,-999,-999,-999,0
41434,13-Jun-12,7338,26,Photo-id (Pop Mon),Photo-id (Pop Mon),15:19,15:42,27.33692,-82.57651,0,"F153,FB15,F123,1231",No Comments,-999,-999,-999,0
41435,13-Jun-12,7338,27,Photo-id (Pop Mon),Photo-id (Pop Mon),15:49,16:04,27.33116,-82.57199,0,"FB79,1753,C798",Upside down tailslap by 1753. 1753 tossed flounder then fish in mouth.,-999,-999,-999,0
41442,15-Jun-12,7342,21,Photo-id (Pop Mon),Photo-id (Pop Mon),10:02,10:13,27.26476,-82.57173,0,"FZJ1,PERL",Associated organism: frigate birds,-999,-999,-999,0
41443,15-Jun-12,7342,22,Photo-id (Pop Mon),Photo-id (Pop Mon),10:19,10:27,27.25913,-82.55235,0,"F167,JETY,1673,MLVN",No Comments,-999,-999,-999,0
41444,15-Jun-12,7342,23,Photo-id (Pop Mon),Photo-id (Pop Mon),10:34,10:51,27.24756,-82.54463,0,"PRST,AMTS",No Comments,-999,-999,-999,0
41445,15-Jun-12,7342,24,Photo-id (Pop Mon),Photo-id (Pop Mon),11:03,11:23,27.21631,-82.52042,0,"RCNM,TRAC,GADG,ONYX,TRA1,COIN",SG1: GADG and calf. Group is prob feeding over large area.  Associate organism: frigate birds.,-999,-999,-999,0
41446,15-Jun-12,7342,25,Photo-id (Pop Mon),Photo-id (Pop Mon),11:34,11:46,27.17356,-82.49947,0,"SCSM,AMVM,SCS1,SCS2,AMV1,GRGO,CL-4942,NYDT",Associated organism: frigate birds,-999,-999,-999,0
41447,15-Jun-12,7342,26,Photo-id (Pop Mon),Photo-id (Pop Mon),11:50,12:40,27.15842,-82.4921,N,"SCSM,AMVM,SCS1,SCS2,AMV1,GRGO,CL-4942,OUCH,MBLE",OUCH has fishing line etangled around dorsal fin.  Initial group size =2.  Breifly interacted with group from sighting 25.  Entangled dolphin (OUCH) probably calf of MBLE.  Associated organisms: frigate birds.,-999,-999,-999,0
41448,15-Jun-12,7342,27,Photo-id (Pop Mon),Photo-id (Pop Mon),13:33,13:35,27.12563,-82.46927,"F,H",BEGR,0= begging. Parasailing boat appeared to be trying to feed Beggar.,-999,-999,-999,0
41449,15-Jun-12,7342,28,Photo-id (Pop Mon),Photo-id (Pop Mon),14:23,14:27,27.19687,-82.49857,0,"F193,F127",No Comments,-999,-999,-999,0
41450,15-Jun-12,7342,29,Photo-id (Pop Mon),Photo-id (Pop Mon),14:47,14:55,27.25232,-82.5298,L,"F264,F221",seawall feeding,-999,-999,-999,0
41451,15-Jun-12,7342,30,Photo-id (Pop Mon),Photo-id (Pop Mon),15:37,15:46,27.30702,-82.55978,0,FB11,No Comments,-999,-999,-999,0
41452,15-Jun-12,7342,31,Photo-id (Pop Mon),Photo-id (Pop Mon),15:52,16:05,27.31894,-82.56665,0,"FB79,F175,F125,1253,C798,F247",No Comments,-999,-999,-999,0
41456,18-Jun-12,7344,21,Photo-id (Pop Mon),Photo-id (Pop Mon),9:37,9:50,27.32359,-82.55464,0,"FB87,F175,FB02,F236,F171,F199,C874,F247",1 recreational boat and 2 lines in the water.,1,2,-999,1
41457,18-Jun-12,7344,22,Photo-id (Pop Mon),Photo-id (Pop Mon),10:00,10:13,27.319,-82.55149,0,"FB27,F131,F110,SOLB,F264,1316,F284","SG1: F131, 1316, F110, FB27, C277, SOLB.  SG2: F264.",-999,-999,-999,0
41458,18-Jun-12,7344,23,Photo-id (Pop Mon),Photo-id (Pop Mon),11:49,11:56,27.32344,-82.57907,0,"F123,1231","No boats, no lines",0,0,-999,0
41464,19-Jun-12,7346,41,Photo-id (Pop Mon),Photo-id (Pop Mon),9:32,9:39,27.33212,-82.57355,0,"F123,1231","SG1: F123, 1231 travelling out. SG2: small dolphin (1-2 year old)  prob feed. SG3: large dolphin, probably mom of SG2 300 yds to the east.",-999,-999,-999,0
41465,19-Jun-12,7346,42,Photo-id (Pop Mon),Photo-id (Pop Mon),10:18,10:33,27.26273,-82.55802,0,"JPJK,JPJ1","SG1: mom and calf. SG2: 3 dolphins, 1 mom/calf pair.",-999,-999,-999,0
41466,19-Jun-12,7346,43,Photo-id (Pop Mon),Photo-id (Pop Mon),11:35,11:39,27.11012,-82.47307,0,,lost dolphin in chop,-999,-999,-999,0
41467,19-Jun-12,7346,44,Photo-id (Pop Mon),Photo-id (Pop Mon),11:46,11:54,27.11192,-82.4706,0,F108,Maybe sighting 43 dolphin. Slow travel.,-999,-999,-999,0
41468,19-Jun-12,7346,45,Photo-id (Pop Mon),Photo-id (Pop Mon),14:17,14:21,27.28217,-82.54532,0,"FB79,C798",No Comments,-999,-999,-999,0
41469,19-Jun-12,7346,46,Photo-id (Pop Mon),Photo-id (Pop Mon),15:09,15:23,27.31492,-82.5648,0,"FB25,C258",No Comments,-999,-999,-999,0
41475,28-Jun-12,7348,21,Photo-id (Pop Mon),Photo-id (Pop Mon),11:57,12:09,27.54803,-82.61181,0,"HIQQ,F102,TDTL,B023",No Comments,-999,-999,-999,0
41476,28-Jun-12,7348,22,Photo-id (Pop Mon),Photo-id (Pop Mon),12:26,12:45,27.56708,-82.57854,0,"F126,CMRS,F162,HITS,ULYS,F223","SG1: CMRS, HITS, and F223.  SG2: F126, F162, and ULYS.",-999,-999,-999,0
41477,28-Jun-12,7348,23,Photo-id (Pop Mon),Photo-id (Pop Mon),13:13,13:44,27.52043,-82.61263,L,"C991,F242,F217,F225,C912,2253","SG1: F242  SG2: F217, C991, C912   SG3: F225, 2253.  Subgroups 2 and 3 joined briefly. Boater approached SG2 closely. Associated organisms: Garr.",-999,-999,-999,0
